 	che	non	li	aspetiamo	</S>
a20	0.003898402	0.00071772264	0.027985021	0.17759997	0.7897989
a8	0.9857906	0.010614825	0.0011799921	4.0563893e-05	0.0023740078
a7	0.05944668	0.023182902	0.014368005	0.065968074	0.8370344
a35	0.34875384	0.29315662	0.21593596	0.034924958	0.10722861
a46	0.7612926	0.0793478	0.03634498	0.030401152	0.09261352
a31	0.25068754	0.2818228	0.19375437	0.094460405	0.17927486
a11	0.10799383	0.29867005	0.33464327	0.11438601	0.1443068
a31	0.05957146	0.20830193	0.4680701	0.12197139	0.14208508
a0	0.13967235	0.22774383	0.28790617	0.17080079	0.17387678
a31	0.010419244	0.19067824	0.5228848	0.17086354	0.1051542
a30	0.039151747	0.18809351	0.4194447	0.22414802	0.12916203
a0	0.119569786	0.24478084	0.22736974	0.21176259	0.19651707
a31	0.19089425	0.21405458	0.20394905	0.19854517	0.192557
</S>	0.12466221	0.2248485	0.21503289	0.22002606	0.21543027
