 	l'	ho	sentito	quando	veniva	</S>
a31	0.22802702	0.30180854	0.21137738	0.04582041	0.089764394	0.12320225
a46	0.6676317	0.08118545	0.22039925	0.0045983475	0.0015743385	0.024610898
a41	0.07643194	0.0080049755	0.1562931	0.032763112	0.020678403	0.7058285
a31	0.27490282	0.5201369	0.15628903	0.005523469	0.004629755	0.03851804
a24	0.62933666	0.064597346	0.02165379	0.00033409218	0.00036216443	0.28371596
a31	0.33625445	0.22055303	0.141942	0.0033208667	0.011619773	0.28630993
a15	0.17218608	0.46584153	0.0923703	0.0029541443	0.01243006	0.2542179
a46	0.06543409	0.065621436	0.36270735	0.077825785	0.1910415	0.23736984
a31	0.030473871	0.33294305	0.27475676	0.1297114	0.14483994	0.08727501
a0	0.09433816	0.35685655	0.17966822	0.08471755	0.15925829	0.1251612
a41	0.17198427	0.329615	0.14083503	0.11254355	0.120775476	0.124246664
</S>	0.12702605	0.20947568	0.18955258	0.1738782	0.16883837	0.13122913
