 	voleva	un	bar	con	un	forno	che	fa	buoni	rustici	</S>
a20	0.07935888	0.12661742	0.09968006	0.043615572	0.04980988	0.059761938	0.03612508	0.024094526	0.051735636	0.04047229	0.38872877
a31	7.0873316e-06	8.347848e-05	0.0016965223	0.034360003	0.025602387	0.051321298	0.28656077	0.47085395	0.0056438656	0.023901744	0.09996886
a20	0.0013280679	0.0019419995	0.0006636038	0.09276299	0.27380827	0.28840926	0.28299767	0.032462846	0.0007715335	0.013378524	0.011475267
a17	7.650733e-06	9.8547716e-05	0.0044307793	0.0030473075	0.015866203	0.22577137	0.33540627	0.35387635	0.010660032	0.022621308	0.028214224
a31	3.5533374e-06	9.738364e-05	0.011933333	0.0031279677	0.012814434	0.13553953	0.18384956	0.30606648	0.18842025	0.121076636	0.037070848
a20	4.374844e-05	0.0001545948	0.00204934	0.0025664554	0.0120021105	0.20098767	0.21005653	0.15081587	0.21892078	0.110212736	0.09219023
a31	2.1547808e-06	3.95766e-05	0.0036916444	0.0010200965	0.007257452	0.17974558	0.050297394	0.07537749	0.12714452	0.41756842	0.13785568
a13	9.713402e-05	0.0016906556	0.0060431524	0.009067176	0.023134863	0.26755866	0.089825675	0.106615104	0.062607266	0.32380095	0.10955941
a10	2.4514666e-05	0.00046565334	0.0035323715	0.0018517671	0.005309392	0.037017614	0.03793249	0.067098804	0.35207185	0.3555228	0.1391727
a1	0.0077303555	0.012630856	0.008418699	0.008516636	0.008558976	0.033865616	0.08448124	0.1892464	0.17284703	0.24760091	0.22610335
a35	3.850516e-05	0.0013107433	0.017986929	0.0030463315	0.010797464	0.050467238	0.14195849	0.14254509	0.033138916	0.19916904	0.3995413
a3	0.00028154106	0.010883762	0.05509526	0.013642782	0.021515124	0.023512175	0.12943369	0.09616989	0.02490648	0.25050944	0.37404978
a8	0.011405853	0.033879906	0.059771627	0.03174435	0.034250908	0.014601085	0.098669946	0.14667329	0.043682173	0.2613727	0.26394823
a14	0.00012684168	0.0050472813	0.06740794	0.032589767	0.076538384	0.060187373	0.10197466	0.0639651	0.02190671	0.18952756	0.38072836
a31	0.021015164	0.035321213	0.03464458	0.030148571	0.025670446	0.0075246533	0.041810866	0.09503119	0.16778809	0.25227255	0.28877273
a10	0.022317695	0.025217442	0.010586582	0.015162526	0.007821437	0.0071120653	0.028592115	0.08178637	0.32118744	0.24122265	0.23899372
a14	0.02084474	0.033906773	0.08502031	0.04093723	0.036420885	0.01004351	0.0970296	0.17253768	0.0400144	0.22707266	0.23617226
a31	0.03643139	0.06310022	0.17623228	0.08938397	0.06376042	0.010204538	0.061829727	0.114998296	0.061065815	0.16025242	0.16274095
a17	0.103469156	0.09254841	0.044860486	0.024832692	0.010220749	0.0070647337	0.048165925	0.11233228	0.20151336	0.18366838	0.17132384
a20	0.01732957	0.02087632	0.13259733	0.15405518	0.16114971	0.034598656	0.14255005	0.117104255	0.020433445	0.09913896	0.100166485
a13	0.117075264	0.23002152	0.18897972	0.13083003	0.054052174	0.007571742	0.050181534	0.05708187	0.04783864	0.058103558	0.058263913
a31	0.13093823	0.22494411	0.2172309	0.13447304	0.055540748	0.00720701	0.04416859	0.048730973	0.03876874	0.048845056	0.049152534
a24	0.26337835	0.14614934	0.06659502	0.029807739	0.010958504	0.007267706	0.059543233	0.090008065	0.11130338	0.10728367	0.107705
a28	0.10486607	0.14293471	0.11469518	0.22185501	0.12311193	0.0221717	0.06603144	0.06035889	0.03267653	0.055715624	0.055582944
a37	0.19188112	0.2193216	0.16942559	0.18851824	0.070482835	0.011000026	0.031472668	0.030989163	0.026710304	0.030097775	0.03010065
a31	0.2174744	0.25938824	0.14663893	0.1568876	0.049596503	0.009230352	0.031419266	0.032522272	0.031961378	0.03242039	0.032460608
</S>	0.4039307	0.12838402	0.062240265	0.037274618	0.015206127	0.010507833	0.055868912	0.06753785	0.0737623	0.07256721	0.07272018
