 	l'	ho	sentito	che	viene	</S>
a34	0.13100931	0.21447234	0.36360013	0.26633742	0.0144605795	0.010120154
a46	0.00017123451	0.0044265795	0.42224067	0.5729756	0.00014163952	4.4251126e-05
a41	0.56103253	0.23622188	0.055413656	0.12300977	0.0036971848	0.020624919
a19	0.12924236	0.058037445	0.02676007	0.013604011	0.740521	0.03183503
a31	0.3891906	0.49107552	0.07795981	0.015201026	0.005824346	0.020748707
a20	0.07792425	0.14110689	0.09278193	0.08395277	0.46210548	0.14212872
a31	0.014959939	0.032992266	0.22577451	0.17783275	0.44150156	0.106938995
a24	0.2182072	0.20808016	0.14566568	0.09173257	0.19793741	0.13837697
a31	0.19824761	0.17552444	0.15849179	0.15083063	0.15865603	0.15824953
a23	0.16998363	0.16705486	0.16504282	0.16523464	0.1653393	0.16734476
a20	0.22887507	0.16889295	0.15440156	0.15221725	0.14309748	0.15251572
</S>	0.16786467	0.16744192	0.16632245	0.16450581	0.1670878	0.16677736
