 	forse	non	li	ha	a	casa	</S>
a28	0.28572136	0.04667824	0.26325148	0.17445554	0.06679835	0.07075284	0.09234213
a10	1.898105e-05	8.097971e-06	0.031105716	0.95813775	0.009115007	0.0006028655	0.0010115993
a31	0.01353086	0.012525796	0.41795543	0.43228054	0.092957444	0.011843577	0.018906329
a21	0.0038841867	0.040598463	0.29848698	0.52968484	0.07575542	0.006345749	0.04524434
a37	0.0008729017	0.018546164	0.2026059	0.6689468	0.046636343	0.03994355	0.022448394
a31	0.0012399928	0.005255868	0.27667493	0.19680019	0.043786354	0.17715877	0.29908392
a37	0.00086511293	0.012898477	0.2281581	0.5593775	0.028001249	0.059160158	0.111539386
a31	0.00027991828	0.0005533056	0.23570576	0.2996664	0.030161876	0.21465756	0.21897523
a37	0.00014928418	0.0017318384	0.32568458	0.30189747	0.020564493	0.2227097	0.12726265
a31	0.0001095752	0.0021072493	0.16369992	0.37126747	0.29553312	0.11837734	0.048905317
a21	0.0026054806	0.04861367	0.09031305	0.21374458	0.3261952	0.25094113	0.06758693
a31	0.0015559392	0.049858976	0.25801665	0.186552	0.1942107	0.2087025	0.10110323
a20	0.11282816	0.059941906	0.045788173	0.18630128	0.2878312	0.2279622	0.07934713
a31	0.00046406125	0.02607732	0.2434396	0.2128837	0.22140159	0.19279598	0.102937736
a37	0.07410618	0.064871594	0.07285047	0.20227002	0.26000383	0.2253586	0.10053931
a33	0.003388145	0.17010769	0.24221903	0.16872855	0.17069791	0.13994278	0.10491591
</S>	0.002993852	0.28657773	0.22549847	0.13781737	0.12811123	0.11731419	0.101687044
