 	non	ha	mangiato	mai	un	rustico	</S>
a31	0.012019523	0.06921932	0.10809786	0.16995123	0.09921377	0.16761248	0.37388578
a24	0.001184487	0.008261939	0.0013027481	0.0018092715	0.0011582634	0.820466	0.16581741
a31	0.00039569126	0.0026124464	0.00081316335	0.0035088547	0.0014329115	0.8533505	0.13788636
a0	0.00025518236	0.0002611312	7.6752374e-05	0.0007823033	0.0003911772	0.84095746	0.15727606
a31	1.6432303e-05	3.3554486e-05	0.0001694078	0.015493022	0.03469642	0.4893094	0.46028173
a17	0.0012549956	0.0017229699	0.0032705453	0.020399585	0.029622236	0.21685642	0.7268732
a13	0.00028607997	0.00079725287	0.0010703367	0.0628816	0.26093692	0.14813389	0.5258939
a31	0.026515506	0.08958368	0.08631741	0.202243	0.19936629	0.06446468	0.33150944
a20	0.062247597	0.14788944	0.17931625	0.03499321	0.08604262	0.101197705	0.3883132
a31	0.010932713	0.03058766	0.14461057	0.23041365	0.30280486	0.106186904	0.17446359
a23	0.102393106	0.25206593	0.15671891	0.024990011	0.111795984	0.1249186	0.22711746
a8	0.011970922	0.032481432	0.14139383	0.45481455	0.22577524	0.062018774	0.07154524
a20	0.04953316	0.250633	0.40019122	0.16864714	0.06975415	0.02940194	0.03183944
a31	0.093524545	0.34092024	0.28805447	0.036260933	0.08151384	0.067813374	0.09191263
</S>	0.15217319	0.22937553	0.12951106	0.044889487	0.1412829	0.13404234	0.16872558
