 	forse	sono	usciti	</S>
a23	0.1054559	0.3251444	0.022046734	0.5473529
a31	0.00042887853	0.92251575	0.008732195	0.06832322
a23	2.1655364e-05	0.97920305	0.020410825	0.00036444588
a31	0.08097304	0.11992928	0.0014416059	0.7976561
a10	0.0062804576	0.3172623	0.6743972	0.0020600262
a37	0.39038008	0.09107872	0.13483341	0.38370776
a31	0.030604454	0.0059648333	0.010635636	0.9527951
a37	0.020951329	0.0277654	0.05850744	0.8927758
a31	0.02789607	0.014987188	0.011270731	0.945846
a39	0.11779975	0.37489063	0.33098245	0.17632711
a31	0.15505339	0.3944743	0.051744457	0.3987278
</S>	0.20757605	0.28568643	0.29627356	0.210464
