 	non	li	aspettiamo	più	</S>
a3	0.004246395	0.0011472885	0.00077290065	0.5183468	0.47548667
a31	0.97265357	0.026204886	0.0007511494	0.00011847	0.0002718574
a35	0.94259256	0.009107452	0.00021820373	0.0009421108	0.047139715
a31	0.4776492	0.025339901	0.0033556889	0.31909746	0.17455776
a13	0.8786266	0.07715028	0.032150377	0.0063178055	0.0057549654
a31	0.26283345	0.44591564	0.20340395	0.03905147	0.048795488
a15	0.14056861	0.6729525	0.11926376	0.043668304	0.023546863
a31	0.061220165	0.5462315	0.25385025	0.08663697	0.052061137
a46	0.46380526	0.21327747	0.16069208	0.113176875	0.04904834
</S>	0.045423187	0.46535793	0.2587115	0.17000468	0.06050268
