 	lo	posso	finire	di	fare	</S>
a20	0.0008692382	0.0006555275	0.0007126101	0.21869765	0.38654166	0.39252326
a31	0.001576378	0.00277358	0.6690068	0.024518473	0.07649699	0.22562772
a46	0.000956295	0.0010398739	0.9216082	0.042602822	0.02322781	0.0105649745
a31	0.00012541702	0.00014292033	0.037455574	0.04545249	0.70010906	0.21671453
a41	1.2401937e-05	5.3316926e-06	0.115379274	0.11015354	0.69192713	0.08252228
a18	0.00032526522	0.00024625965	0.028394906	0.039441716	0.42411482	0.507477
a7	0.009921299	0.012982656	0.047698006	0.021715622	0.20669848	0.70098394
a41	0.06162897	0.14315042	0.041713372	0.036992036	0.19118011	0.5253351
a31	0.2584976	0.10041185	0.019996826	0.042796444	0.13034223	0.4479551
a0	0.064324625	0.14089505	0.025444897	0.0497065	0.17857747	0.54105145
a31	0.39290217	0.11150289	0.07544318	0.12344246	0.14555818	0.15115115
a39	0.18181476	0.18785256	0.09346392	0.15121695	0.18804327	0.19760853
a46	0.6029246	0.09189658	0.08059021	0.07599845	0.07436365	0.07422662
</S>	0.44213623	0.11966966	0.11007404	0.109532036	0.1092441	0.10934395
