 	qui	dentro	deve	mettere	un	tappeto	</S>
a20	0.20310555	0.06068433	0.013086762	0.0109812785	0.0363254	0.2154329	0.46038374
a31	0.0009702466	0.00470443	0.013854913	0.00018811511	0.0011139533	0.912947	0.066221304
a4	0.0037498414	0.16636269	0.8001982	0.0012085495	0.0018606015	0.025626378	0.0009939153
a46	0.11127935	0.007937406	0.0034129163	0.002568613	0.08455552	0.1481336	0.64211255
a31	0.16159345	0.0402132	0.01478581	0.012597681	0.03335531	0.21055327	0.52690125
a28	0.0016547228	0.005165521	0.001404175	5.533319e-05	0.002175725	0.06698641	0.9225581
a27	0.011687838	0.077627026	0.03557232	0.00146765	0.003671192	0.11572307	0.7542509
a31	0.019167583	0.09537091	0.06790717	0.051404607	0.032717414	0.27786312	0.45556924
a49	0.022439692	0.0052453508	0.0003332105	0.0017709838	0.18904884	0.37931934	0.4018426
a23	0.019390155	0.011218286	0.0018895669	0.007352713	0.22498819	0.55169	0.18347107
a31	0.14071615	0.010467866	0.008255075	0.13320044	0.119646534	0.35982645	0.22788747
a29	0.20693609	0.11085452	0.007538035	0.003889421	0.29689983	0.1983253	0.17555673
a17	0.28513554	0.20558901	0.033016972	0.029203137	0.24011964	0.1384441	0.06849155
a20	0.2856233	0.26475915	0.08724404	0.12181772	0.15215038	0.048711315	0.039694127
a17	0.2569444	0.27459687	0.09606549	0.12406831	0.1465721	0.054702025	0.0470508
a31	0.23456642	0.259732	0.09876514	0.13153945	0.15471075	0.06518298	0.055503234
a20	0.14839844	0.1603447	0.12550026	0.111170955	0.15998544	0.14915696	0.14544325
a31	0.16035491	0.26436996	0.109820135	0.12092387	0.19526689	0.086456	0.06280823
a3	0.15033032	0.09716706	0.017855972	0.0077711884	0.24537018	0.25359207	0.22791326
a31	0.25624198	0.27495524	0.07284561	0.08008707	0.20745409	0.061679095	0.046736922
a8	0.14740697	0.0868737	0.013326479	0.005758362	0.2530404	0.26248828	0.2311058
</S>	0.32100183	0.23048598	0.088637486	0.13688621	0.16148438	0.034573767	0.02693034
