 	sono	vestita	</S>
a31	0.15823327	0.16958347	0.6721833
a20	8.5996265e-07	0.14249235	0.85750675
a31	1.9695251e-07	0.41890272	0.58109707
a41	4.5289366e-06	0.70363337	0.29636207
a46	0.00017445022	0.639439	0.36038658
a18	0.0037419433	0.43988392	0.5563741
a24	0.045469437	0.07922988	0.8753007
a31	0.08610289	0.07199973	0.84189737
a11	0.09608949	0.11109581	0.79281473
a0	0.20062813	0.0584513	0.7409206
a15	0.650843	0.055099405	0.2940576
a8	0.787418	0.06221149	0.15037052
a39	0.8321445	0.05672836	0.11112722
</S>	0.54371405	0.15714405	0.29914188
