 	i	bambini	non	possono	mangiare	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a31	0.012179429	0.061616626	0.04372733	0.028115017	0.028055448	0.01398012	0.0060934178	0.016271569	0.03261785	0.26962155	0.104563616	0.2533092	0.020186355	0.109662436
a27	0.000116204596	0.00043698642	0.10622889	0.13741533	0.03392968	0.40088984	0.28464568	0.0026497957	0.0050005554	0.001859928	0.001140001	0.016842702	0.0028907426	0.005953626
a20	9.821288e-07	2.1420869e-05	0.00041393677	0.0002790485	0.00089900097	0.011490367	0.060919143	0.04760895	0.01580588	0.016938323	0.00858307	0.28022352	0.113796644	0.44301978
a31	8.591668e-06	2.686004e-05	0.0003690756	0.00058921584	0.0050908104	0.02948515	0.14839496	0.24777597	0.0612131	0.0094267065	0.028752865	0.18423827	0.13133982	0.15328859
a37	9.389547e-06	9.4159195e-06	6.8814246e-05	0.00020749973	0.0035539262	0.01668194	0.06490009	0.23664017	0.06308668	0.011817415	0.016872287	0.12996164	0.26167735	0.19451329
a31	1.0119085e-05	1.0520769e-05	0.00013022372	0.00050905306	0.0022800039	0.0034748206	0.01848917	0.038003944	0.023433363	0.028225895	0.09035069	0.52090013	0.10270796	0.17147413
a27	4.984045e-05	1.6062118e-05	0.00013749937	0.0008180392	0.007924667	0.03510356	0.12964527	0.14359966	0.016331477	0.018494908	0.019378135	0.20019984	0.28116816	0.14713293
a37	0.00015687721	2.8635692e-05	0.00092174864	0.003946389	0.009385039	0.0057919216	0.0129370345	0.017304022	0.012097747	0.07927714	0.1900487	0.6141743	0.021847002	0.032083444
a31	0.003992947	0.0020095957	0.017846012	0.03287487	0.03175082	0.032669406	0.07343008	0.03773993	0.006452398	0.0893463	0.1360138	0.45269024	0.04703444	0.03614912
a22	0.0040173987	0.0014986575	0.0060163196	0.015222094	0.009240797	0.011891995	0.043720823	0.005589779	0.0077565257	0.17078799	0.08505665	0.45903727	0.09238766	0.08777606
a31	0.0001207992	0.0007522231	0.014304892	0.022329025	0.02527152	0.025094522	0.08687223	0.19084397	0.031920675	0.07200436	0.0673148	0.3930156	0.025074713	0.045080625
a20	0.030215776	0.018841838	0.027166734	0.024623044	0.015383923	0.008367684	0.011261152	0.002452783	0.010686255	0.21801092	0.20413892	0.38549334	0.019333633	0.024023905
a31	0.0023153543	0.010244114	0.025369715	0.027818043	0.065652214	0.03770794	0.08449227	0.115630075	0.027467536	0.13020962	0.13480212	0.28905687	0.02230626	0.026927892
a37	0.050648313	0.0203044	0.023710918	0.023199502	0.016162597	0.009881975	0.008976831	0.0037924699	0.020463962	0.21779507	0.23327303	0.3395579	0.013714611	0.018518494
a31	0.0041516363	0.0066211484	0.011460346	0.01777954	0.04313366	0.16496265	0.28381798	0.18331063	0.041715614	0.09138749	0.050838903	0.078155935	0.010622867	0.012041672
a3	0.06787886	0.02029396	0.01952675	0.01958318	0.014754838	0.012700895	0.01113949	0.0069401367	0.030830596	0.20637865	0.24756701	0.312812	0.0122152865	0.017378353
a31	0.004982921	0.020054456	0.04168641	0.02750499	0.06669936	0.052825976	0.12491352	0.2782206	0.039424565	0.086206965	0.0628602	0.14020824	0.025994254	0.02841747
a18	0.095841825	0.069555655	0.04679911	0.027884858	0.021450154	0.032439865	0.02631629	0.018560445	0.05853711	0.16895007	0.18697394	0.2139431	0.010829062	0.02191849
a31	0.0070454697	0.01224455	0.015564624	0.013225736	0.046115182	0.1545102	0.22501993	0.30600405	0.06740556	0.06633776	0.024461057	0.04065965	0.008785906	0.012620302
a39	0.10800104	0.075626746	0.044490732	0.024907583	0.02078528	0.037868425	0.036643248	0.028889114	0.07279476	0.15675412	0.16997983	0.18690935	0.01120542	0.025144339
a8	0.008522026	0.020114744	0.03520793	0.020444682	0.059027344	0.08735481	0.13271834	0.32649842	0.070050195	0.07541666	0.036264632	0.07761987	0.01992109	0.03083915
