 	l'	ho	sentito	che	veniva	</S>
a41	0.24027981	0.28206185	0.21569705	0.059391916	0.06701869	0.13555071
a31	0.9140706	0.073952034	0.0019141093	2.0513844e-05	6.657455e-05	0.009976125
a24	0.9096831	0.008788307	0.00013518066	7.9360834e-05	0.00024793958	0.08106608
a15	0.100382335	0.0070455875	0.0019225704	0.00073597353	0.00059265154	0.88932085
a28	0.14189422	0.47896153	0.24438874	0.067319736	0.017988322	0.04944739
a0	0.2066586	0.3523537	0.34778067	0.0638104	0.014176945	0.015219668
a31	0.16604766	0.5528628	0.24234095	0.018847875	0.006320259	0.013580483
a11	0.052515656	0.21426968	0.5012802	0.13918562	0.047072843	0.045676023
a31	0.027510902	0.2873764	0.29352042	0.209427	0.12119225	0.060973004
a39	0.07768367	0.21490836	0.22393058	0.20820577	0.17374788	0.10152365
a20	0.20806053	0.19800709	0.15204944	0.14898004	0.1459403	0.14696266
</S>	0.15993223	0.17550048	0.17178296	0.16888633	0.16496496	0.15893297
