 	mi	sono	vestito	</S>
a39	0.03627965	0.07423527	0.4803461	0.409139
a11	0.0011293419	0.0105954595	0.027913375	0.96036184
a13	0.04363074	0.19262485	0.3421507	0.4215937
a18	0.042245913	0.038324516	0.48368502	0.43574452
a31	0.15846685	0.10122156	0.35376963	0.38654193
a37	0.53112847	0.11584324	0.15341964	0.19960862
a15	0.04534567	0.06750354	0.40078315	0.48636767
a31	0.02332143	0.34825715	0.26356512	0.3648562
a46	0.52560616	0.21672365	0.114738524	0.14293173
a31	0.21375525	0.40316868	0.17061633	0.21245983
a20	0.41450608	0.13489756	0.21181802	0.23877837
a31	0.6536821	0.17925057	0.08235384	0.08471349
</S>	0.4503739	0.14355414	0.19910266	0.20696926
