 	se	vieni	ogni	giorno	a	casa	mia	compra	il	pane	</S>
a31	0.00085034675	0.006567503	0.017190857	0.012628541	0.012171139	0.021505896	0.20700419	0.028772252	0.22635187	0.2315129	0.23544459
a37	1.4772179e-06	3.4660022e-08	1.5706401e-07	8.0362065e-07	1.2309181e-05	0.00043277588	0.0029364864	0.47426426	0.46466556	0.048888918	0.008797324
a31	8.77506e-09	7.193246e-10	4.3557007e-09	1.0291491e-06	0.0002898866	0.017551119	0.09492335	0.832586	0.0088997595	0.031523366	0.014225492
a20	9.607927e-07	3.001233e-08	9.9470775e-08	3.5486787e-06	0.00018397612	0.0022566533	0.007686906	0.93809134	0.029514173	0.018879129	0.0033830535
a31	7.889383e-08	7.533799e-09	6.661277e-08	9.12313e-06	0.0001870397	0.0009300896	0.002679993	0.918286	0.050783012	0.015482509	0.011642025
a20	2.9334164e-05	4.878836e-08	2.4731776e-07	2.291912e-05	0.00030810782	0.0018354206	0.0048112036	0.9261739	0.042112265	0.0153518235	0.009354725
a31	1.3881711e-05	4.985301e-06	1.6286453e-05	0.00012451848	0.00019628873	0.0004826389	0.001396831	0.7776445	0.120590076	0.06639071	0.033139255
a11	0.004508411	0.00014887244	0.0003505588	0.0010424663	0.00066775957	0.0019271012	0.0070814523	0.28659585	0.18252477	0.3201931	0.19495961
a31	0.0010231179	0.005383579	0.003682373	0.0012058702	0.00054878055	0.0012762937	0.0068466626	0.24148557	0.23596266	0.34113237	0.16145271
a20	0.012522588	0.007307343	0.009335811	0.0073033026	0.0026221147	0.0027461294	0.0120953405	0.012933017	0.3092245	0.4024564	0.22145353
a31	0.00039997965	0.0043604216	0.0034501438	0.0026469496	0.0014530892	0.0021197945	0.009903959	0.07585468	0.3169039	0.39645073	0.18645637
a29	0.0148550635	0.03922053	0.031384714	0.022009496	0.014635417	0.008570028	0.022517044	0.0074163163	0.3032371	0.32527632	0.21087797
a46	0.0012746282	0.008087027	0.012990821	0.00672382	0.010799306	0.022285132	0.049685434	0.045703273	0.23540854	0.33813396	0.26890808
a18	0.00048475983	0.0016878797	0.0031934006	0.009992239	0.007622965	0.014098977	0.039041996	0.04421549	0.2868725	0.33794558	0.25484425
a31	0.008116547	0.045442186	0.060948983	0.044289052	0.09367609	0.09852886	0.14179634	0.011675973	0.1529425	0.17551674	0.16706672
a28	0.01786165	0.10277082	0.071783505	0.048380777	0.058929704	0.037666988	0.03437621	0.0050993254	0.22160529	0.22395806	0.17756765
a20	0.0015336163	0.0024776098	0.01093763	0.038043495	0.09519763	0.17643589	0.29683527	0.026164647	0.11597882	0.12632631	0.110069074
a41	0.0115357	0.029427681	0.06435153	0.08630473	0.20331976	0.18702741	0.18935515	0.004810199	0.07284158	0.076672785	0.07435351
a28	0.012391655	0.026016776	0.052984	0.079268664	0.21330002	0.24019182	0.21111275	0.0044416	0.053503852	0.05431947	0.052469492
a8	0.019476324	0.041108407	0.052618884	0.07348311	0.1815387	0.2367711	0.22999868	0.004063171	0.0550192	0.0544946	0.05142782
a23	0.004492488	0.0030932385	0.0071650906	0.033686753	0.13117136	0.27191752	0.37718904	0.0069127944	0.055976205	0.055338312	0.053057186
a31	0.0052027917	0.004180864	0.008746738	0.037766725	0.14520468	0.28674433	0.34076226	0.0058465665	0.056365173	0.055759314	0.05342057
a39	0.024677902	0.09152127	0.06089844	0.0513191	0.09210354	0.057107832	0.030545358	0.0072218576	0.19405492	0.19933315	0.19121662
a20	0.032730624	0.03941694	0.0502455	0.07259363	0.18256024	0.2708052	0.23617932	0.010766643	0.0358794	0.035205968	0.03361659
a39	0.02712443	0.0768517	0.1273304	0.18879509	0.2675592	0.1784989	0.06785244	0.0020043214	0.021178545	0.021412626	0.021392459
a8	0.042421464	0.07029813	0.13216849	0.19144362	0.24107175	0.1848287	0.085301034	0.004862242	0.015863538	0.015889643	0.015851442
a31	0.047985196	0.027310392	0.061386295	0.16423376	0.22386736	0.24880593	0.17870846	0.0046904725	0.014317586	0.014340435	0.014354144
a28	0.0652106	0.09317482	0.12966971	0.14451775	0.15692909	0.094572455	0.05034387	0.009250613	0.08495663	0.085736364	0.08563814
a20	0.035870917	0.056030888	0.103259236	0.16829918	0.25136605	0.21540661	0.11180948	0.0075127454	0.016846804	0.016835913	0.016762218
a8	0.088118285	0.14058156	0.18214132	0.19202691	0.18352856	0.123203024	0.050435763	0.0034553965	0.012142783	0.012181615	0.012184823
a23	0.07766791	0.03457501	0.06967699	0.16835168	0.21303292	0.23201422	0.15739824	0.00755869	0.0132367965	0.013240281	0.013247227
a8	0.044739015	0.018533474	0.036100935	0.11895004	0.1871668	0.27981278	0.26053578	0.010483652	0.014571166	0.014542206	0.014564052
</S>	0.04091115	0.017364252	0.031320315	0.10644911	0.17724378	0.28958616	0.2795119	0.009809839	0.015958028	0.015915927	0.015929595
