 	non	ci	dimentichiamo	mai	</S>
a31	0.0010737649	0.0013836281	0.284015	0.3655014	0.34802628
a20	0.0009849102	0.014078355	0.16429697	0.52995867	0.29068115
a31	0.011232186	0.07842902	0.38699678	0.12632777	0.39701417
a11	0.03789965	0.50378364	0.08935188	0.27306414	0.09590071
a20	0.00061247975	0.013373291	0.16371219	0.4940555	0.32824647
a31	0.0005375321	0.041803002	0.121163495	0.42008677	0.41640922
a11	0.0015627688	0.20340754	0.27848208	0.32595447	0.19059303
a31	0.0008013335	0.14882822	0.48892435	0.21131948	0.15012659
a18	0.011317747	0.12889066	0.40745446	0.27445978	0.17787741
a42	0.0011417925	0.07102348	0.41026303	0.2814691	0.23610257
a31	0.0935702	0.16851489	0.28149918	0.23414949	0.2222662
a18	0.031202361	0.2113293	0.26911473	0.25316602	0.23518762
a31	0.507614	0.12655145	0.124834456	0.12082996	0.1201701
a39	0.18616891	0.2027454	0.20535845	0.20384273	0.2018845
a31	0.6694488	0.07673669	0.0854862	0.08403622	0.08429211
a20	0.22246781	0.19478148	0.19491453	0.1942628	0.19357337
a39	0.6615189	0.0898889	0.08413509	0.082258254	0.08219881
a31	0.3903151	0.15511543	0.15217006	0.1512672	0.15113223
a14	0.20329577	0.19897695	0.19965477	0.19923367	0.19883886
a46	0.5244948	0.12329486	0.11838372	0.11698085	0.11684571
a20	0.46042085	0.1374271	0.1347608	0.13372865	0.13366261
a31	0.27679873	0.18235253	0.18104218	0.18013492	0.17967169
</S>	0.17103979	0.2062878	0.20812236	0.20759387	0.20695618
