 	il	dito	si	gonfiò	</S>
a39	0.42806298	0.01651179	0.21627034	0.14336619	0.19578871
a13	0.00025812085	0.046150777	0.028533991	0.28134066	0.64371645
a31	0.0012358562	0.2708279	0.5209691	0.099939674	0.10702745
a20	0.019504637	0.5932019	0.23971204	0.07503385	0.07254762
a31	0.010026903	0.4232148	0.3525818	0.11485945	0.09931701
a11	0.029265963	0.3533748	0.2841665	0.15888831	0.17430441
a31	0.06572938	0.32361218	0.29716808	0.1368595	0.17663082
a39	0.17655802	0.32547593	0.23991035	0.10286592	0.1551898
a31	0.12348519	0.10762191	0.40134627	0.1759466	0.19160008
a41	0.16285965	0.16004418	0.3336097	0.1733493	0.17013721
a46	0.0815722	0.07911332	0.38981518	0.22681797	0.22268136
a31	0.11467075	0.090038724	0.31154278	0.25310236	0.23064537
</S>	0.10104301	0.02350543	0.34114152	0.29899907	0.23531099
