 	Marìa	però	sta	ora	sta	seduta	nel	giardino	e	non	può	rispondere	al	telefono	non	può	parlare	al	telefono	</S>
a46	0.012212345	0.4264839	0.051251303	0.0023018469	0.0011872284	0.0026206465	0.040239654	0.028323531	0.00053164846	0.00028507912	0.00070218433	0.0677942	0.0008841077	0.0019509678	0.0040396666	0.05131273	0.07249558	0.100728124	0.010472484	0.1241828
a31	0.00023572058	0.015257297	0.64224017	0.09033276	0.0048648496	0.033284724	0.024402259	0.08162287	0.0010972312	0.0002503916	0.00077482685	0.01019249	0.00031286135	0.0032478187	0.009614016	0.0012087082	0.0036864164	0.00106595	0.0009020234	0.07540671
a20	0.016243424	0.010216365	0.13847578	0.38950515	0.3467391	0.0014077844	0.00074895	0.0064624203	0.00030150276	7.143842e-06	3.7423506e-06	0.012833	7.7102966e-05	0.00021453777	6.956693e-06	9.669356e-05	0.00091301545	0.00061519234	0.01395811	0.061174028
a11	9.3119765e-05	0.00038244805	0.004692629	0.038303174	0.010195109	0.23853476	0.0017048155	0.00428031	0.0035997652	0.0016821505	0.0018055965	0.190621	0.010216298	0.011855092	0.020162076	0.0115374	0.11997485	0.051273108	0.0054988735	0.27358738
a29	2.3581395e-05	0.00025951004	0.0019773282	0.04010269	0.036317527	0.20671792	0.012227295	0.013728991	0.03816563	0.01806629	0.007579411	0.017382534	0.049140044	0.084969655	0.31116346	0.009539115	0.07990065	0.018058367	0.002261201	0.05241882
a31	0.0002743689	0.0036698251	0.02939344	0.14222424	0.1826948	0.2742422	0.030200709	0.0140873585	0.02430104	0.008094899	0.0015226222	0.0029241298	0.021567568	0.06456805	0.09018296	0.004321003	0.025507186	0.004107525	0.0017669396	0.074349195
a0	4.369279e-05	0.0002900552	0.00216703	0.029320825	0.050802387	0.29790017	0.018773595	0.023369243	0.03941847	0.016657803	0.003982784	0.010638863	0.031033652	0.13454832	0.15992078	0.008089631	0.060885593	0.006797304	0.0011240892	0.104235664
a39	0.00024454246	0.00404634	0.020142084	0.03670268	0.03984247	0.46642962	0.023168122	0.011905325	0.014619409	0.00956846	0.0028479253	0.004349066	0.017509695	0.023235455	0.1593316	0.012542408	0.026632316	0.0052332375	0.0026358902	0.11901335
a31	0.0026123708	0.011332545	0.04689046	0.1491188	0.15098941	0.0947902	0.07648867	0.07772862	0.04052872	0.016713219	0.00168495	0.0020572701	0.031872272	0.07461969	0.0770267	0.03672165	0.060889456	0.0042027906	0.004887473	0.038844727
a37	0.007502139	0.013050079	0.14127824	0.13599169	0.120187715	0.09519752	0.04209019	0.02646183	0.024489444	0.012768933	0.0010174578	0.0025704089	0.038626637	0.0886655	0.062066134	0.014432989	0.040680755	0.0062014214	0.011243114	0.115477845
