 	non	aveva	da	stare	</S>
a37	0.6592903	0.21121679	0.10645511	0.0030470057	0.019990804
a38	0.0048659453	0.015540648	0.9747551	0.0048144246	2.3971606e-05
a24	0.000837858	0.019327592	0.9635363	0.016296398	1.8751457e-06
a8	0.081948355	0.1906484	0.47854105	0.24658847	0.0022737253
a17	0.54307824	0.35237747	0.0702231	0.004618221	0.0297029
a31	0.32744482	0.32457796	0.030904718	0.0058349804	0.31123754
a20	0.046269283	0.36254075	0.36598474	0.09855259	0.12665258
a8	0.035898816	0.3864138	0.34510276	0.10813709	0.124447584
a31	0.01407953	0.24284168	0.19912274	0.04479072	0.49916533
a20	0.033071708	0.1938654	0.26450795	0.37223136	0.13632359
a31	0.0803672	0.5015727	0.22556141	0.15206923	0.040429514
a8	0.39936292	0.29597634	0.12809795	0.08687037	0.08969241
a31	0.36053082	0.41907427	0.15554164	0.03013277	0.034720533
</S>	0.3091945	0.2206037	0.15062241	0.14090793	0.17867145
