 	ora	che	loro	non	vengono	più	</S>
a39	0.026447529	0.19475251	0.031923722	0.006095051	0.04322263	0.21242769	0.4851309
a20	7.1501836e-06	0.00029994716	0.0009470838	0.00040304568	0.00015994877	0.0025801035	0.9956027
a13	0.004078834	0.039964072	0.022634702	0.0023461336	0.0046103615	0.12676802	0.7995979
a17	0.008322597	0.20484895	0.1803037	0.025773264	0.01577029	0.06663855	0.49834272
a39	0.004052185	0.06961636	0.054828912	0.016933933	0.046539973	0.33030263	0.477726
a8	0.0024295	0.040456697	0.042842634	0.018099826	0.0785908	0.38253093	0.43504965
a31	0.0022521922	0.059357997	0.0928823	0.01494002	0.04861088	0.379678	0.40227857
a15	0.040764283	0.18092364	0.06951805	0.053867035	0.23229638	0.09415242	0.32847822
a38	0.00043289695	0.009874879	0.0111714285	0.04072182	0.26305416	0.4319429	0.24280183
a31	0.043678995	0.11343827	0.0344692	0.04928302	0.28372648	0.14200124	0.3334028
a13	0.21468428	0.10035906	0.08365361	0.18191822	0.14117335	0.079045	0.19916648
a20	0.01817886	0.042069618	0.013599855	0.05757797	0.46487778	0.14685197	0.256844
a7	0.041749377	0.06498553	0.014721274	0.06959042	0.46794847	0.1246399	0.2163651
a11	0.022610266	0.04683093	0.009123915	0.075621195	0.57745296	0.10405424	0.16430654
a24	0.039059762	0.088799916	0.0112825595	0.100048594	0.48767534	0.09771979	0.175414
a15	0.03702876	0.0877453	0.0105481045	0.10538276	0.42041135	0.11656112	0.22232261
a24	0.00674671	0.029569084	0.008110194	0.09259681	0.64749515	0.08529002	0.13019198
a31	0.15494825	0.15859853	0.027502637	0.179124	0.18656312	0.114279136	0.17898431
a0	0.09226131	0.09511559	0.038954884	0.25102866	0.22859994	0.110724345	0.18331526
a18	0.04733828	0.13385837	0.027464055	0.10156309	0.25999382	0.19479807	0.23498432
a31	0.14945218	0.22392422	0.03549286	0.12905423	0.15009724	0.1456572	0.16632195
a38	0.07936822	0.11729214	0.0506151	0.20775615	0.19718036	0.1522585	0.1955295
a31	0.15898705	0.20695913	0.04659821	0.10884949	0.15583228	0.15710692	0.16566697
a20	0.11335542	0.13463959	0.0722299	0.18532534	0.18062048	0.14324439	0.17058486
a31	0.26182914	0.21652518	0.054741856	0.08831262	0.12617378	0.12415913	0.1282583
a35	0.25028488	0.13584284	0.09092354	0.1509992	0.14994818	0.09983694	0.12216445
a31	0.14530627	0.20116948	0.04858506	0.08051727	0.19550449	0.15809561	0.17082186
a18	0.48381644	0.0982884	0.07529237	0.08918504	0.08969972	0.07901627	0.08470162
a31	0.28550708	0.37754998	0.05313927	0.05239171	0.081762806	0.07268765	0.07696141
a46	0.48449597	0.09671695	0.07888825	0.08853233	0.08895481	0.07865477	0.08375695
a39	0.17472224	0.3114434	0.06331292	0.077199474	0.13606706	0.11528539	0.12196949
a31	0.68234456	0.08561077	0.04569244	0.04640845	0.046584845	0.046576317	0.046782605
</S>	0.44620284	0.098730385	0.08295383	0.09288759	0.09284898	0.092764184	0.09361219
