 	se	vieni	a	casa	mia	ogni	sabato	compra	pane	di	portare	</S>
a31	0.0038174968	0.01239214	0.0177101	0.0073338137	0.01742363	0.0127593195	0.08078578	0.17418022	0.18887694	0.19115476	0.15480597	0.13875978
a24	1.0940461e-07	4.064467e-09	1.6001097e-08	1.2071659e-07	3.3592372e-05	0.0015378448	0.009362984	0.05372617	0.7821418	0.14636189	0.0068312	4.218467e-06
a31	6.6179794e-08	6.1552923e-09	2.5275898e-07	2.9514526e-05	0.017805751	0.15950207	0.23746054	0.11808621	0.41916013	0.03995603	0.007467051	0.0005324735
a28	2.4611902e-06	1.00791354e-07	1.6919982e-06	6.7331996e-05	0.0027366753	0.01101311	0.019021926	0.12683347	0.7555865	0.0741724	0.010314914	0.0002494621
a15	1.38351e-06	3.4958465e-09	3.9179344e-07	7.471966e-05	0.0011325859	0.0073232125	0.0124312965	0.27783272	0.6005246	0.09457093	0.0037169084	0.0023912652
a28	1.0659384e-06	4.179692e-09	4.414862e-07	4.3756914e-05	0.0004785773	0.004498852	0.010024142	0.37817606	0.5021691	0.0970942	0.0047327084	0.0027810673
a31	9.915505e-05	4.992621e-06	4.1166666e-05	6.011609e-05	0.00017400495	0.001681358	0.013135747	0.4298726	0.2828923	0.18932234	0.07151355	0.011202711
a8	0.0025751432	5.2030635e-05	9.901364e-05	0.0002568571	0.00081471767	0.004149957	0.02291102	0.04731576	0.18857068	0.5246288	0.18539274	0.023233186
a31	1.1781073e-05	1.2537712e-06	6.658065e-06	2.8313121e-05	0.00017753681	0.0025464746	0.024327254	0.2755242	0.48431513	0.16008286	0.042175714	0.010802858
a33	0.008704676	0.0009746874	0.0017980494	0.0013730568	0.0026479491	0.009196987	0.008433595	0.015508651	0.12604338	0.5228919	0.21752398	0.08490315
a20	5.481278e-05	6.6711723e-06	1.8501456e-05	5.0944967e-05	0.00048386343	0.007153013	0.08794753	0.17643511	0.55895734	0.1297489	0.022563757	0.016579438
a14	0.011357884	0.008037219	0.006292887	0.0033983986	0.01273489	0.097299024	0.0701613	0.045738935	0.22781831	0.32923684	0.07378734	0.11413702
a31	0.01578773	0.063341215	0.02996076	0.007977579	0.013004355	0.14489825	0.077280685	0.053039983	0.25262102	0.21040793	0.04985421	0.081826225
a17	0.02697811	0.017575093	0.0288535	0.026721388	0.013827619	0.025340544	0.012516659	0.02385883	0.15932357	0.2914784	0.25719148	0.11633483
a20	0.0028926113	0.00058772234	0.0042983536	0.0072476813	0.057112236	0.31957492	0.27386984	0.061062947	0.15938924	0.073582254	0.0060739527	0.034308262
a31	0.034301445	0.03652408	0.05143642	0.07126612	0.15632361	0.2619651	0.06338298	0.0345478	0.07559835	0.08682302	0.055100977	0.0727301
a8	0.05459816	0.03556221	0.076244585	0.0988413	0.063522	0.0722073	0.037390485	0.053804822	0.12044453	0.1433939	0.1390174	0.104973264
a24	0.0035560734	0.0002913796	0.004567726	0.024548398	0.24054049	0.39983115	0.19910228	0.026911717	0.04364422	0.030658325	0.003384206	0.022963952
a28	0.056819603	0.14036296	0.14997523	0.19037239	0.1496703	0.063302755	0.03185273	0.026670003	0.044832245	0.049490172	0.049055327	0.04759623
a20	0.04347252	0.037535317	0.074119546	0.105220616	0.27490836	0.24840687	0.05202731	0.032258008	0.038344026	0.038204737	0.02150388	0.0339988
a31	0.062306404	0.09703991	0.12267976	0.15688378	0.22031558	0.084107675	0.035819437	0.03611084	0.045686007	0.047886286	0.046476055	0.044688255
a46	0.07644802	0.14927597	0.16422737	0.21134686	0.056600332	0.04625201	0.04057755	0.038084272	0.05228937	0.055268735	0.05555314	0.05407634
a18	0.030054482	0.0025051169	0.019534046	0.09148481	0.4528172	0.20483857	0.051588602	0.029673645	0.03321947	0.032342672	0.020832907	0.031108508
</S>	0.09767343	0.14807257	0.1958566	0.24074008	0.14704053	0.035584558	0.022192815	0.020709427	0.022811938	0.023224223	0.023166843	0.022927051
