 	non	so	cosa	stai	scrivendo	</S>
a31	0.17141598	0.05613922	0.08133384	0.03695771	0.027171914	0.6269813
a21	0.008693895	0.013889365	0.10519871	0.29853722	0.5513209	0.022359937
a31	0.0013232422	0.00034276806	0.027640618	0.088205926	0.3895517	0.4929357
a10	0.0049042697	0.0007604619	0.019953415	0.03718821	0.2982464	0.63894725
a7	0.00085415924	0.0020909118	0.030684642	0.023170112	0.020949207	0.922251
a41	0.0002276972	0.0006707926	0.004289612	0.0027532254	0.012239796	0.97981894
a31	0.005561435	0.0035161136	0.026865004	0.007807433	0.11015251	0.84609747
a8	0.21612394	0.036435384	0.16382083	0.049675565	0.225302	0.30864227
a31	0.0030070608	0.00044823004	0.050481915	0.0065322816	0.32685542	0.61267513
a8	0.22868316	0.075890176	0.12933408	0.20292227	0.2071773	0.15599298
a23	0.011163579	0.0039409045	0.20801657	0.01676715	0.3983668	0.361745
a8	0.16753672	0.071408816	0.48860723	0.061121143	0.12585287	0.08547331
a31	0.20059428	0.14997734	0.377716	0.121981196	0.08339396	0.06633723
a21	0.17507024	0.15147078	0.14120677	0.20015931	0.15408047	0.17801248
a31	0.16102888	0.17329738	0.3394454	0.120508246	0.11605556	0.089664534
a24	0.30330595	0.15835717	0.1342748	0.14316942	0.13049133	0.13040125
a21	0.30089346	0.26457396	0.23269922	0.086296745	0.06299315	0.052543476
a31	0.48240954	0.23729941	0.1126371	0.07390445	0.048549786	0.045199722
a17	0.28754592	0.16410644	0.13871436	0.14138228	0.13317758	0.13507347
a20	0.33501074	0.20152497	0.20724384	0.11440835	0.076202944	0.06560915
a0	0.50773525	0.18720801	0.09110296	0.08104658	0.0670021	0.06590511
a31	0.45244592	0.23137213	0.10341169	0.086879134	0.06466637	0.061224893
a8	0.20341223	0.16434412	0.15697686	0.16139983	0.15606304	0.15780391
a37	0.43384358	0.20153332	0.15136933	0.09950113	0.057829097	0.05592345
</S>	0.29021338	0.16913956	0.13888119	0.14264293	0.13090575	0.12821719
