 	ha	che	sono	usciti	</S>
a31	0.0859629	0.20601653	0.6521418	0.018293658	0.03758515
a13	0.0003522979	0.0281594	0.96970314	0.00160412	0.00018103312
a8	0.56891537	0.28475857	0.08513381	0.057097673	0.0040945914
a24	0.26736972	0.050800383	0.015045808	0.038276758	0.6285073
a31	0.0809579	0.11946068	0.113938235	0.015828194	0.669815
a0	0.037928287	0.03848437	0.024924867	0.014208738	0.88445365
a31	0.08304392	0.03449881	0.03674383	0.01370113	0.83201236
a8	0.28181314	0.17985472	0.067668185	0.2530883	0.21757568
a23	0.49566483	0.1846989	0.112927645	0.07798434	0.12872437
a8	0.38291553	0.20160651	0.15925376	0.09443053	0.16179374
a23	0.35685703	0.2064365	0.17127511	0.09521266	0.17021863
</S>	0.40539733	0.20668894	0.1632576	0.06709581	0.1575604
