 	forse	stanno	ancora	svegli	</S>
a31	0.2088372	0.22034013	0.16079219	0.20653844	0.20349196
a10	3.7770693e-07	1.6029544e-06	0.0098872585	0.35579878	0.6343119
a20	3.1004208e-06	5.5549594e-05	0.0035115606	0.06451168	0.93191814
a31	3.4798395e-05	0.00013490912	0.005837976	0.60510737	0.3888849
a18	9.146887e-06	2.4558263e-05	0.0007547662	0.51940686	0.47980464
a31	0.00017069929	0.00074187433	0.1821232	0.6645254	0.15243891
a35	0.00017537476	0.009969842	0.06409476	0.44039813	0.4853619
a31	3.3116317e-05	0.03304176	0.2787634	0.39896834	0.28919327
a10	0.007996012	0.06919962	0.12532273	0.35544443	0.44203725
a20	0.0009053547	0.1745122	0.2849987	0.27144185	0.26814187
a29	0.0016841781	0.43904993	0.17721905	0.19627401	0.18577287
a20	0.014505904	0.57659084	0.14684743	0.1280201	0.13403575
a31	0.01681145	0.51002485	0.15905751	0.15608373	0.15802243
a28	0.06711805	0.19545484	0.23413727	0.24943471	0.25385514
a8	0.019369023	0.64113265	0.12026048	0.10949466	0.10974325
a21	0.096551575	0.6066781	0.103848614	0.096490815	0.096430846
</S>	0.32666066	0.2855605	0.13026468	0.1286128	0.12890136
