 	si	è	rotta	la	coppa	</S>
a31	0.001402704	0.25060648	0.26721784	0.28361005	0.16452518	0.03263782
a20	0.00023592125	0.0008394633	0.07689748	0.2095101	0.71042216	0.0020948402
a19	0.0027156733	0.0645694	0.01785769	0.01898766	0.6360015	0.25986812
a18	0.42322078	0.04391779	0.018828468	0.046324585	0.43598157	0.03172682
a27	0.41592574	0.16938046	0.07111797	0.05653917	0.2111213	0.07591536
a31	0.029809024	0.06784065	0.0932794	0.069896825	0.6617191	0.07745504
a39	0.17999755	0.4513639	0.19408625	0.06812444	0.08379945	0.022628387
a31	0.026236294	0.107283875	0.17066136	0.24873745	0.34936115	0.097719796
a46	0.21856321	0.22061169	0.14079803	0.09456953	0.15099087	0.17446662
a31	0.14736961	0.16405812	0.15765463	0.17391132	0.17818804	0.17881826
a20	0.17059825	0.1704571	0.16403708	0.15846643	0.1664859	0.1699552
</S>	0.17914641	0.16981699	0.16315605	0.16227867	0.16232912	0.16327278
