 	non	avete	mangiato	mai	un	rustico	</S>
a23	0.008898899	0.047567666	0.10401968	0.16804095	0.077891834	0.32053518	0.27304575
a31	1.4391264e-06	0.0002310398	0.0072192093	0.018194156	0.02056427	0.62469697	0.32909298
a29	0.002980385	0.15282792	0.31327915	0.2587314	0.07335372	0.07523038	0.12359704
a24	0.0017045327	0.0077390512	0.022482041	0.10373367	0.039300755	0.61555696	0.20948303
a18	8.100563e-05	0.00010463191	0.0007244341	0.0063321427	0.0047104848	0.8568917	0.13115557
a31	9.077956e-05	3.3224554e-05	0.00038430627	0.008812969	0.0057785334	0.8497889	0.13511129
a13	0.00018357101	4.4119395e-05	0.00034300255	0.00843232	0.0049194484	0.73720545	0.248872
a11	0.0007739768	0.00024331882	0.0007890525	0.032089703	0.054330174	0.56822026	0.3435535
a8	0.0029102024	0.0019722313	0.004841282	0.080308415	0.08840955	0.28745016	0.53410816
a31	0.00028289433	0.0005848211	0.0049509853	0.104382284	0.1892453	0.36252216	0.33803156
a24	0.027030258	0.13048616	0.08941648	0.029107347	0.093320265	0.15177712	0.4788624
a31	0.0114354715	0.02420326	0.073315725	0.08829087	0.18212217	0.22901435	0.39161822
a39	0.038656227	0.14730076	0.07022459	0.02455837	0.14046666	0.226988	0.3518054
a20	0.0061086435	0.011184906	0.044815075	0.33271247	0.2204479	0.19331174	0.19141924
a31	0.043875795	0.3332788	0.31895903	0.047999356	0.08125923	0.07850044	0.096127376
a20	0.07056188	0.31884494	0.12782395	0.032807186	0.12652622	0.14889507	0.17454074
a31	0.048943713	0.12077419	0.32880837	0.2823751	0.100101255	0.058307193	0.060690165
a46	0.13780023	0.42389718	0.12941185	0.03847968	0.08323326	0.09036919	0.09680859
a31	0.05943331	0.052520487	0.19158979	0.47079176	0.11042631	0.057526562	0.057711855
a23	0.19274525	0.45252848	0.12712716	0.042113226	0.05983955	0.061666567	0.06397978
a31	0.12299889	0.115569025	0.3111277	0.31879884	0.0635187	0.03396301	0.034023892
a46	0.2597196	0.41718557	0.11012648	0.04296113	0.055701233	0.056346755	0.05795924
a8	0.17689256	0.12854281	0.30664322	0.26800588	0.054205395	0.032811582	0.0328985
a31	0.18496267	0.3481677	0.31579125	0.08815121	0.024776423	0.019040707	0.019110126
a38	0.38903812	0.30913526	0.08387374	0.041000795	0.058053005	0.05850196	0.06039713
a20	0.20355256	0.38026956	0.2826042	0.06580373	0.025037332	0.02131239	0.021420222
a31	0.2954133	0.43609154	0.14848621	0.03558853	0.028731331	0.027685147	0.028004121
a20	0.44583896	0.21400689	0.08073881	0.05479205	0.067588605	0.06793148	0.06910319
a31	0.2245651	0.4114329	0.2370822	0.051400594	0.026671467	0.024373371	0.024474414
</S>	0.4747237	0.21489663	0.07713007	0.05412544	0.059466712	0.05957297	0.06008454
