 	dovevo	comprare	il	pane	ogni	giorno	</S>
a30	0.05018279	0.2639178	0.17605278	0.1990686	0.118055426	0.04108671	0.15163592
a41	4.365399e-05	0.0009808803	0.049620934	0.39360768	0.08002583	0.22498254	0.25073844
a31	0.00014343257	0.03471762	0.42687687	0.105157666	0.004195039	0.017218255	0.41169107
a24	6.822823e-05	0.0011102761	0.040795512	0.115888886	0.00595733	0.14672126	0.6894585
a37	2.4739942e-05	0.0027610091	0.12452928	0.28392878	0.16350219	0.080392644	0.34486133
a31	9.741187e-05	0.00819063	0.07700085	0.2494875	0.20751642	0.26486984	0.19283737
a17	4.5665336e-05	0.0025369343	0.030678075	0.13386732	0.15426737	0.5032615	0.17534313
a5	1.2571315e-05	0.0006872849	0.02056941	0.063490584	0.44151214	0.41006544	0.06366254
a17	0.029792672	0.068713665	0.10708453	0.03166753	0.15379871	0.4119959	0.19694693
a20	0.0024627098	0.017398305	0.09498967	0.031039802	0.29947647	0.33070654	0.22392648
a5	0.045482073	0.060107604	0.09096904	0.018333916	0.24071237	0.28255937	0.2618356
a20	0.09908874	0.07861848	0.014830243	0.014134769	0.24099988	0.29149032	0.2608376
a37	0.074738264	0.103775285	0.105651855	0.028942673	0.22528036	0.23810738	0.2235042
a39	0.185749	0.20243709	0.05764726	0.018448241	0.17506976	0.18233007	0.17831852
a35	0.17998022	0.34765357	0.05876879	0.035983205	0.1272459	0.12722018	0.12314808
a7	0.25520396	0.42947817	0.05577057	0.033955716	0.076158114	0.07551258	0.073920935
a24	0.35826162	0.34792522	0.031206125	0.02153314	0.08049206	0.080666654	0.07991519
a37	0.36671668	0.30405766	0.022053229	0.020927742	0.09500732	0.09600979	0.09522758
a17	0.40196568	0.297911	0.019094825	0.01990887	0.08656204	0.08754032	0.087017275
a31	0.36298054	0.41225806	0.037405927	0.03323559	0.05169008	0.051467452	0.050962232
a20	0.50478715	0.073376335	0.015062244	0.03558115	0.122498445	0.1243663	0.12432835
</S>	0.27932888	0.429209	0.056634493	0.045577016	0.06389303	0.06328382	0.06207377
