 	ora	ho	finito	di	scrivere	</S>
a23	0.0323028	0.13994306	0.0883307	0.23185733	0.2165654	0.2910007
a31	0.00022493841	0.17265725	0.17375083	0.5275294	0.0531836	0.072653994
a28	7.1793766e-05	0.05182617	0.082775585	0.8406977	0.020405082	0.0042236303
a31	0.023719175	0.13927232	0.05884577	0.048702948	0.053786207	0.6756736
a41	0.0024239775	0.010580196	0.05003084	0.49438202	0.4223132	0.02026967
a21	0.036503784	0.15991801	0.19455776	0.06993806	0.19290127	0.3461811
a24	0.009892176	0.0788329	0.044968553	0.012920657	0.026797973	0.82658774
a31	0.00836229	0.04046172	0.19696395	0.067701206	0.055540554	0.6309703
a39	0.12914911	0.09630609	0.11698893	0.03755007	0.31896988	0.30103594
a31	0.057129763	0.13738742	0.3099122	0.16818617	0.082756154	0.24462825
a28	0.115397	0.15607646	0.16163583	0.05571503	0.2770232	0.23415242
a31	0.09720733	0.22306009	0.254815	0.19713877	0.0457898	0.18198897
a20	0.13486792	0.16444126	0.17499474	0.15574153	0.19011083	0.17984371
a37	0.34039405	0.2281265	0.14217043	0.11526869	0.063803166	0.110237144
</S>	0.19485259	0.17197944	0.16236971	0.1545777	0.15801178	0.1582087
