 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
a23	0.0009332947	0.011179843	0.045367967	0.044030976	0.09176213	0.21365307	0.11102541	0.07884572	0.22625564	0.17694598
a31	4.5992675e-07	7.4351133e-06	0.0041425284	0.00037088225	0.016743155	0.8922056	0.053029396	0.0023291013	0.007196343	0.023975069
a10	0.0001410839	0.00011421782	0.012419482	0.048738863	0.24097146	0.23673359	0.13737214	0.03998165	0.13314588	0.15038162
a41	6.0274215e-05	0.0002177902	0.11240101	0.05351754	0.3191763	0.3130578	0.037899416	0.005283977	0.014741203	0.14364468
a24	1.6480224e-05	5.4618504e-05	0.01128198	0.031273033	0.48478192	0.36160243	0.0496074	0.014306468	0.00892159	0.03815411
a46	5.3596672e-05	0.00032111147	0.09690691	0.052041028	0.5036152	0.20531595	0.064910054	0.02129223	0.006763866	0.048780065
a24	3.658143e-05	0.0003236884	0.011015855	0.050838616	0.49123138	0.2774444	0.10041041	0.037696913	0.012607091	0.018395064
a37	0.002136863	0.0059627993	0.11118775	0.099426165	0.37629402	0.13430798	0.11352031	0.032674335	0.06699302	0.05749682
a46	0.0043304097	0.006238681	0.048357725	0.31052315	0.38873222	0.071946785	0.05161289	0.019868506	0.07884916	0.019540373
a31	0.00037392494	0.0027154125	0.014031457	0.07862783	0.26581904	0.27688298	0.17134438	0.06385062	0.09362253	0.03273185
a20	0.03215636	0.04194636	0.007516782	0.052289486	0.052673973	0.0473261	0.19892909	0.16799855	0.3397064	0.059456885
a8	0.0036822818	0.005299351	0.02249171	0.17190552	0.16478191	0.20416193	0.113190435	0.022224756	0.24061707	0.05164504
a31	0.00020124053	0.004249422	0.04071817	0.13545994	0.24974753	0.26127627	0.12267771	0.024961261	0.11505594	0.04565249
a10	0.020738516	0.01433261	0.002036417	0.02859921	0.022404445	0.056436393	0.22246265	0.20178948	0.395774	0.03542629
a31	0.0053688954	0.006173953	0.01315118	0.17385213	0.0854368	0.25148228	0.17826574	0.033589695	0.20573398	0.046945337
a10	0.012367299	0.005583753	0.002624235	0.04881966	0.026170237	0.1362889	0.27415308	0.18312761	0.28801116	0.02285401
a11	0.0013957191	0.0023969575	0.014569964	0.29044074	0.18481301	0.28494102	0.096067905	0.021704214	0.08934195	0.014328628
a37	0.0049215485	0.008596383	0.02367632	0.4025414	0.08606	0.153189	0.13213982	0.041496847	0.1311375	0.016241163
a31	0.01049266	0.017201684	0.014768319	0.35130495	0.052031904	0.1258546	0.14775708	0.059787456	0.14847606	0.07232531
a20	0.027205555	0.02967035	0.0071085216	0.0756247	0.020915993	0.13867153	0.22978573	0.2125134	0.23179212	0.026712041
a41	0.0032205908	0.0034370616	0.019377504	0.33854243	0.3304378	0.15751915	0.05280318	0.010622574	0.056155432	0.027884241
a11	0.05160424	0.11404723	0.0221678	0.31673893	0.055656865	0.098562315	0.10096203	0.08008781	0.09953202	0.06064077
a27	0.028785037	0.04888577	0.018439295	0.3741611	0.059273988	0.10292325	0.103129	0.07126145	0.10165686	0.09148424
a0	0.033993464	0.07672696	0.017471954	0.3001299	0.041143153	0.10149095	0.11519048	0.09678075	0.1140704	0.103001945
a20	0.023266781	0.01944157	0.022009144	0.31307518	0.09938636	0.11548563	0.11023773	0.08923868	0.11143681	0.09642213
a31	0.049855813	0.108306624	0.020654956	0.28174648	0.047120407	0.09594758	0.10342243	0.09741171	0.10231271	0.0932213
a17	0.054354608	0.05204688	0.015230954	0.08219481	0.026186543	0.1273	0.16650681	0.1686602	0.16879505	0.1387242
a20	0.047321353	0.02530052	0.013432416	0.23799223	0.13289866	0.1225142	0.11293407	0.08931384	0.11113209	0.10716066
a37	0.07424561	0.142638	0.02006792	0.2440985	0.060218778	0.09154846	0.09382553	0.091417596	0.09271917	0.089220405
a31	0.08141505	0.18207718	0.027177572	0.2298346	0.048593823	0.08426132	0.088375024	0.08556147	0.087552086	0.08515186
a0	0.09361678	0.069438316	0.028846655	0.09566188	0.040859472	0.12183619	0.13985944	0.14084671	0.14065343	0.12838116
a17	0.06044158	0.03725467	0.014333753	0.24854156	0.12867853	0.11102711	0.10447035	0.09189034	0.10282872	0.10053333
a28	0.107119225	0.1316863	0.027005214	0.22327821	0.09653211	0.0862326	0.08341308	0.081725344	0.0825083	0.0804996
a31	0.13654883	0.25940108	0.03512005	0.18165573	0.059567362	0.066557094	0.06600313	0.065359704	0.06534675	0.064440235
a20	0.15664732	0.09282038	0.041858338	0.09446786	0.051293638	0.10601068	0.1146522	0.11516683	0.114977844	0.11210486
a28	0.09753404	0.10889407	0.017972637	0.23466429	0.107395545	0.091412485	0.08738944	0.083078966	0.08612538	0.08553309
a15	0.171247	0.26301545	0.039004453	0.1563215	0.06567471	0.062531486	0.061182987	0.060291905	0.060660794	0.060069684
</S>	0.16110656	0.14629018	0.049344532	0.17719896	0.09435337	0.07698885	0.07433392	0.07316892	0.07400671	0.07320801
