 	era	molto	stanco	</S>
a46	0.004408731	0.00036338507	0.10391145	0.8913165
a8	0.0151397055	0.0068935542	0.015245656	0.9627211
a37	0.0015122953	6.31832e-05	0.007014714	0.99140984
a31	0.69636744	0.20353478	0.020785905	0.07931191
a0	0.24972385	0.17486036	0.2671474	0.3082684
a20	0.014226425	0.013903499	0.10361001	0.8682601
a31	0.11546954	0.5002025	0.12211923	0.26220873
a39	0.061804585	0.5323386	0.2145164	0.19134039
a41	0.023812525	0.06756208	0.51575416	0.3928713
a31	0.01266565	0.35442597	0.33112592	0.3017824
a28	0.017098486	0.6757893	0.16999479	0.13711749
a11	0.017874127	0.052511938	0.5601567	0.36945724
a20	0.015094544	0.26591593	0.34225592	0.37673363
a31	0.029337155	0.28254747	0.32887232	0.35924298
a11	0.077516556	0.32022163	0.292197	0.31006473
</S>	0.07092964	0.19858553	0.36794743	0.36253735
