 	Marika	cerca	una	macchina	che	consuma	fa	poco	consumo	in	benzina	</S>
a31	0.049338363	0.07148411	0.03556869	0.009443298	0.0014774128	0.0003896347	0.0080541745	0.04139204	0.006448189	0.39734367	0.18682928	0.19223118
a10	0.00033423112	3.911782e-06	0.0023849332	0.0046001445	0.08547208	0.006111662	0.0071465517	0.019453576	0.83150077	0.010901483	0.006191594	0.02589901
a20	6.4925625e-06	1.7665184e-07	2.6122218e-05	7.218906e-05	0.096614994	0.27495793	0.12201987	0.017208355	0.03759016	0.009682183	0.09465823	0.3471633
a31	2.3885527e-06	4.967318e-07	3.620562e-05	7.9905e-05	0.01794069	0.26755488	0.4006925	0.039483394	0.020095246	0.01252971	0.06635331	0.17523132
a20	1.5124717e-06	9.5124896e-08	2.5242828e-06	3.8543814e-05	0.19575857	0.31489527	0.34714773	0.040034134	0.004456457	0.012496275	0.029637935	0.05553103
a31	2.360571e-06	7.903964e-06	0.00015473571	0.0005642086	0.06168554	0.075749144	0.2933116	0.07267106	0.04791935	0.08975133	0.13928202	0.2189008
a17	2.7327927e-05	2.0374473e-06	8.863457e-05	0.0028745483	0.09810023	0.092774354	0.14032203	0.06329672	0.01734484	0.43080866	0.025789669	0.12857088
a31	1.6381993e-05	3.957071e-05	0.0010986577	0.0035367901	0.03457021	0.03598372	0.25166905	0.120186545	0.05776119	0.27249283	0.081038766	0.14160626
a26	0.002411721	0.00079990615	0.0045465864	0.009829687	0.01481485	0.016054016	0.031314056	0.05743147	0.03741766	0.6343945	0.021327363	0.16965811
a23	0.00336057	0.0027528093	0.018549744	0.00789888	0.030754693	0.0706143	0.17138417	0.24796003	0.03689282	0.29707682	0.021519987	0.09123523
a31	0.013547641	0.005085989	0.0179562	0.01419518	0.027906701	0.15413198	0.1011042	0.20502372	0.03536266	0.28387788	0.022187036	0.11962076
a20	0.06915076	0.14795768	0.11374621	0.078785636	0.027068932	0.008066902	0.017839199	0.083297424	0.17162049	0.13523524	0.0523366	0.09489488
a31	0.011672896	0.019449012	0.039128274	0.02213813	0.11417059	0.16840363	0.14130545	0.27181652	0.005837275	0.10689145	0.021121008	0.07806575
a41	0.072355315	0.11170418	0.055367444	0.053334884	0.012944046	0.005385959	0.021675503	0.14081705	0.25515848	0.13000019	0.057310306	0.08394661
a35	0.009495738	0.018281253	0.06663133	0.023468848	0.097174056	0.1799564	0.18747768	0.28865045	0.0051157707	0.048678	0.014797665	0.06027279
a24	0.011402251	0.003495818	0.0060094693	0.010919771	0.012793978	0.056113783	0.0772655	0.36928517	0.02242601	0.16433881	0.055046603	0.21090294
a31	0.058371983	0.14030783	0.10202035	0.14554712	0.023402262	0.011238255	0.018349841	0.09144661	0.13813202	0.023594987	0.08704686	0.16054186
a3	0.08807547	0.14649157	0.059430253	0.057263177	0.008687863	0.007283154	0.023950059	0.14680596	0.24767612	0.12150856	0.043920025	0.048907813
a31	0.019008879	0.0048095263	0.025334481	0.0073222187	0.105686046	0.2700142	0.15675613	0.2913186	0.0023131443	0.022793606	0.01322879	0.081414334
a35	0.08745497	0.17971344	0.113435544	0.14534774	0.011627448	0.009208092	0.023736693	0.11323322	0.21116371	0.05437499	0.024456427	0.026247727
a24	0.012106417	0.0023176386	0.017985875	0.004185398	0.08064493	0.40588367	0.19898309	0.20645396	0.0015145473	0.010263456	0.008310395	0.05135058
a31	0.077557474	0.1192759	0.14588839	0.13284151	0.038795367	0.01628278	0.02418227	0.08769359	0.16719042	0.034878172	0.07604534	0.07936884
a7	0.10476657	0.11421932	0.08936189	0.14812462	0.017066535	0.01678628	0.038954973	0.14490956	0.18732208	0.07016637	0.033735745	0.034585994
a31	0.015926966	0.004792049	0.04654584	0.037126426	0.21760377	0.34487048	0.1419333	0.14078392	0.0033359656	0.005138324	0.008532883	0.03341004
a28	0.12998953	0.18552928	0.12324405	0.17670368	0.031245604	0.01931702	0.031958643	0.08814628	0.1161245	0.048659872	0.02440038	0.02468108
a38	0.014665753	0.005059298	0.0408785	0.036148366	0.2627918	0.40390638	0.1127048	0.08628497	0.0024525954	0.00282866	0.0072436277	0.025035184
a31	0.13005662	0.032072622	0.115545094	0.038008656	0.048657227	0.066519484	0.076919734	0.12880157	0.124269545	0.023486681	0.10529173	0.11037109
a38	0.1182403	0.14644347	0.10624251	0.1459939	0.04378936	0.02525662	0.03725183	0.07944398	0.10022681	0.0740738	0.06151766	0.06151977
a24	0.022548238	0.009718226	0.064793706	0.1480853	0.43494484	0.16555628	0.04880458	0.0468958	0.007882017	0.0021854949	0.018656459	0.029929047
a31	0.1371083	0.15298453	0.13457312	0.122319594	0.08024241	0.033198185	0.03886632	0.061090864	0.06905279	0.04386844	0.06319863	0.06349683
a27	0.18975228	0.15851434	0.081866965	0.099542	0.041669052	0.028436592	0.03940935	0.0748259	0.08718284	0.08215259	0.0583452	0.058302928
a31	0.035667524	0.025737533	0.10326115	0.30159825	0.33525988	0.060316887	0.031300824	0.034800906	0.014422504	0.002235475	0.024650346	0.030748675
a28	0.3690756	0.16992015	0.05693914	0.07445964	0.044123366	0.030474303	0.037476026	0.055582605	0.05429027	0.053289272	0.027244141	0.027125506
a37	0.042283922	0.014229246	0.053136874	0.09133476	0.4678032	0.14878435	0.053681057	0.04539943	0.008082629	0.002232063	0.03136933	0.041663166
a46	0.25379732	0.18629366	0.10010838	0.06541382	0.07751624	0.043160666	0.042673618	0.047758196	0.048661422	0.03766946	0.048412386	0.0485348
a31	0.1709907	0.039384875	0.11595857	0.03656713	0.1121607	0.095826946	0.07507297	0.081184685	0.07447894	0.032884393	0.08222898	0.08326113
a33	0.15347974	0.104919724	0.081235886	0.0901786	0.06267601	0.046298202	0.055281952	0.07530135	0.08275727	0.08301369	0.08243557	0.08242205
a23	0.05031526	0.012752835	0.042362824	0.028588828	0.04973533	0.14067459	0.1283219	0.13401775	0.101264216	0.03838428	0.13547368	0.1381085
a31	0.047155596	0.011205307	0.051914413	0.028622271	0.055102304	0.12200801	0.10700264	0.12253998	0.11243593	0.08503718	0.1284475	0.12852886
</S>	0.08021077	0.047402184	0.0695891	0.09241347	0.06006501	0.04527697	0.06081258	0.096150175	0.111483194	0.112727635	0.11208723	0.11178171
