 	dopo	Giovanni	é	tornato	a	casa	</S>
a31	0.023909975	0.036307078	0.0022740148	0.014984899	0.31962344	0.32749093	0.2754097
a20	6.563322e-09	8.199159e-08	0.007226455	0.004039981	0.16964932	0.60264295	0.21644123
a17	3.764334e-09	3.9870187e-08	0.75329256	0.07565976	0.0077861417	0.05412437	0.109137125
a31	2.2948651e-08	3.0193612e-06	0.30432183	0.052068096	0.16241878	0.31041995	0.17076835
a39	1.6249723e-07	3.1989717e-07	0.38691586	0.16541393	0.0884558	0.17092061	0.18829332
a31	7.142155e-08	2.2216009e-06	0.17108406	0.12374091	0.35081345	0.114763394	0.23959588
a20	5.89845e-07	4.3143514e-06	0.3226446	0.1592935	0.20005506	0.13475993	0.18324202
a31	2.615557e-07	1.2594084e-05	0.2603063	0.10305624	0.4202307	0.08036015	0.13603371
a13	3.9554743e-05	0.0009645909	0.26955405	0.07181622	0.37421945	0.14108753	0.14231864
a24	9.306394e-06	0.0007008995	0.24947281	0.036968607	0.48563024	0.13315904	0.094059005
a46	0.00186092	0.014278098	0.09628654	0.02428036	0.3913341	0.33409244	0.13786756
a31	2.1319076e-06	0.001765122	0.06949511	0.022520185	0.5992536	0.22348821	0.08347561
a20	0.02967201	0.070480056	0.025009891	0.023430176	0.56876236	0.21085852	0.071786985
a31	0.00066532055	0.006894788	0.096770346	0.016437463	0.44492713	0.28746825	0.14683674
a18	0.036973953	0.09217023	0.01543828	0.015558296	0.47014147	0.26864296	0.101074845
a20	0.0028877885	0.01427263	0.09207588	0.017132677	0.42669758	0.28239053	0.16454296
a31	0.041223552	0.16269593	0.019226208	0.010496903	0.28273407	0.26853713	0.21508616
a11	0.14356244	0.16792284	0.00802333	0.009517642	0.26883993	0.23825759	0.16387624
a31	0.03194055	0.087072514	0.042224217	0.022173071	0.30184883	0.27317402	0.2415668
a28	0.2937795	0.22290221	0.005583079	0.008722831	0.17101918	0.16194765	0.13604549
a41	0.04475724	0.115622096	0.06791396	0.060402315	0.26565793	0.23200019	0.21364626
a8	0.3439452	0.37052482	0.0045440313	0.008850745	0.09052969	0.091078885	0.09052658
a33	0.014071144	0.24719815	0.030722365	0.060459618	0.21627896	0.21587384	0.21539591
</S>	0.017706124	0.2669345	0.022329932	0.04282882	0.21660268	0.21705803	0.2165399
