 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
a31	0.07256904	0.07896942	0.035709772	0.024732983	0.014505035	0.012131853	0.0064283875	0.011427928	0.0035645175	0.0036620512	0.0176367	0.030851167	0.0064234477	0.08936042	0.5920273
a10	1.4113291e-06	9.998134e-06	8.39015e-05	0.00011381075	0.0058187335	0.04263256	0.17168899	0.6743219	0.08030717	0.005467461	0.0041377773	0.0010845879	4.624177e-06	2.2716002e-05	0.014304339
a39	6.7105447e-07	3.0037172e-06	1.972179e-06	8.775348e-06	0.00038970687	0.0028311063	0.033506542	0.025011053	0.122758776	0.46177113	0.2292093	0.010640733	7.0177143e-06	0.0013160557	0.11254417
a31	1.4587187e-06	2.230485e-06	1.5443077e-06	6.358237e-06	0.00021451675	0.0005227506	0.008728062	0.00088175683	0.028146945	0.28154504	0.49324697	0.07890123	0.00090365333	0.016272223	0.09062528
a21	2.3590518e-07	2.8102227e-07	5.468106e-07	8.0804193e-07	4.9266513e-05	5.88649e-05	0.0075030606	0.0009010875	0.044436127	0.26235887	0.6190761	0.06257045	7.350265e-05	0.00053057825	0.0024402477
a31	9.0895e-06	1.0031239e-05	2.8944874e-06	1.0336023e-05	0.00023488788	0.0004173324	0.007606758	0.00056514045	0.017030507	0.07975446	0.3089751	0.18926902	0.008096441	0.028372068	0.35964593
a21	3.676579e-06	5.0960675e-06	7.188619e-05	3.7944854e-05	0.008471872	0.005495126	0.15667981	0.010126283	0.0937753	0.083358645	0.23437376	0.3550469	0.0010435447	0.0014971094	0.05001306
a31	4.924849e-06	5.431172e-06	4.0533655e-06	7.6154206e-06	0.00021327395	0.00037246966	0.0034445825	0.00040067465	0.0036226693	0.008169402	0.04846551	0.22520131	0.014639761	0.026594061	0.6688543
a28	0.0015022444	0.0034642601	0.003480337	0.0079448195	0.013421997	0.12844035	0.06481266	0.11239216	0.011208874	0.005334525	0.023294427	0.103035584	0.003742056	0.010047608	0.5078781
a31	0.00044830205	0.0009938278	0.0002457936	0.0004585985	0.0018961163	0.003674767	0.011513799	0.003604739	0.0044608414	0.00535032	0.022341443	0.05331996	0.006768291	0.046470758	0.8384524
a37	0.08072935	0.07234103	0.009337689	0.024952563	0.018565748	0.15715016	0.049198583	0.22476311	0.016483422	0.003113627	0.011249876	0.030421687	0.032423582	0.024357712	0.24491194
a31	0.005783773	0.014492228	0.0035551935	0.0038173904	0.010506693	0.010716494	0.025914596	0.0059292144	0.007052932	0.011877247	0.042442072	0.03064694	0.008730031	0.07613964	0.7423956
a6	0.10642798	0.061732695	0.024958871	0.016991345	0.02624728	0.0710333	0.02255741	0.12527013	0.010136421	0.0034307472	0.035884127	0.07057468	0.12885821	0.03844507	0.25745174
a31	6.283657e-05	0.00020323235	1.6407725e-05	5.3253174e-05	0.00017602542	0.00035220713	0.0015724355	0.000302529	0.0020602462	0.008012942	0.009207266	0.03326883	0.022726264	0.25518915	0.6667964
a20	0.11043686	0.08549083	0.07302745	0.07120432	0.039360203	0.09096009	0.01582076	0.09877221	0.010495889	0.011714438	0.06542244	0.068958856	0.09390674	0.04542532	0.1190035
a41	0.0018889272	0.0048883124	0.0015747816	0.0019547776	0.0062140482	0.005246675	0.026855582	0.0024255044	0.020499116	0.053523224	0.03528235	0.02809855	0.041355282	0.3009865	0.4692064
a33	0.06776401	0.049242087	0.03401687	0.02564116	0.065213636	0.09981974	0.08961875	0.08565896	0.08874681	0.049698297	0.048880413	0.037402004	0.077107355	0.06650532	0.1146847
a31	0.001282598	0.0016777728	0.0016334053	0.000708295	0.0137397675	0.0033607227	0.05180786	0.0017652062	0.08911223	0.10875174	0.029171426	0.021902004	0.06943139	0.28018928	0.32546633
a37	0.064775474	0.05242637	0.10468214	0.23177043	0.06327121	0.13086703	0.042513784	0.10318547	0.033692546	0.025336992	0.030621354	0.02966203	0.030395342	0.025992218	0.030807588
a27	0.025138594	0.020198504	0.07467345	0.03834765	0.16259801	0.10465069	0.2399603	0.07736058	0.17524087	0.033710968	0.004040209	0.0018731931	0.009146473	0.01585798	0.017202547
a31	0.08085399	0.07600007	0.12913236	0.16567583	0.109856494	0.12697065	0.06557141	0.13616274	0.041940734	0.013281504	0.010750932	0.00920859	0.011521269	0.0111989835	0.0118744625
a3	0.15351966	0.08854584	0.15230753	0.1420491	0.07148293	0.06254743	0.041411564	0.05933947	0.03645174	0.03181306	0.032779433	0.032417938	0.032470044	0.03034969	0.032514542
a8	0.030037068	0.017140511	0.035101622	0.011546775	0.19985707	0.061664872	0.23714474	0.051932868	0.21336158	0.043705013	0.015190171	0.008694445	0.02272677	0.025903748	0.025992833
a38	0.04003688	0.035508752	0.024654765	0.022778848	0.0790305	0.055155132	0.09128891	0.049078546	0.23909315	0.09109914	0.056386366	0.049633585	0.05534693	0.05520323	0.055705216
a31	0.09664013	0.08115965	0.13391867	0.1925955	0.08759832	0.10075238	0.045114975	0.11758966	0.0327439	0.018842697	0.018672898	0.01848586	0.018717935	0.018441629	0.01872572
a33	0.11426821	0.06728484	0.10423029	0.111455046	0.061333574	0.067946956	0.052305825	0.07215884	0.050574083	0.0484143	0.0501563	0.050215267	0.050181467	0.049157586	0.050317373
</S>	0.015459691	0.014327578	0.017896652	0.023525333	0.037176523	0.039565448	0.04427504	0.038018163	0.14840192	0.1228745	0.09883946	0.09166769	0.10226016	0.102596976	0.103114896
