 	sto	ancora	cucinando	</S>
a20	0.23138635	0.22915564	0.25428286	0.2851752
a31	0.0003065055	0.025383532	0.67439574	0.29991415
a37	0.01356407	0.51676375	0.28644335	0.18322884
a20	0.08515936	0.040059593	0.04821724	0.8265638
a31	0.020563634	0.07786515	0.12209985	0.7794714
a30	0.013730752	0.019534215	0.08424054	0.8824945
a46	0.00680687	0.141753	0.36651424	0.4849259
a31	0.040642533	0.5868064	0.23264787	0.13990317
a39	0.15140876	0.3387628	0.31329238	0.19653597
a15	0.04672738	0.5445188	0.23704429	0.17170948
a20	0.5274421	0.29875517	0.095801845	0.07800096
a22	0.7769376	0.12355159	0.052363954	0.04714691
a31	0.81175107	0.09690917	0.04628128	0.045058522
a46	0.2609233	0.25269496	0.24554995	0.24083179
</S>	0.63309014	0.13239725	0.117451474	0.11706121
