 	se	si	era	vestito	il	mio	fratello	l'	avessi	portato	con	me	</S>
a33	0.03886341	0.04303494	0.08185169	0.2639374	0.24637924	0.05794597	0.0030385412	0.003729814	0.006230105	0.065192915	0.052761916	0.022633439	0.11440055
a31	1.5556562e-08	1.3379942e-05	0.22019695	0.45649892	0.2403152	0.079949334	0.0019364667	0.0005663888	6.183431e-05	9.279372e-06	7.630292e-05	2.5221734e-05	0.00035066938
a20	1.2595854e-05	0.002416123	0.27133435	0.060808882	0.15694106	0.19297877	0.12618725	0.15444383	0.016828159	0.00041780257	0.003571086	0.0046869894	0.009373188
a31	2.6093041e-05	0.00033910316	0.04838651	0.45552236	0.08784396	0.17721023	0.02835796	0.02612403	0.011728971	0.0026934885	0.007400227	0.00462022	0.1497469
a28	1.742045e-06	1.49813695e-05	0.024621587	0.49664292	0.14976315	0.12832211	0.014547464	0.0207629	0.016449025	0.010818265	0.018090026	0.0054353005	0.11453056
a20	3.742086e-05	0.00045174954	0.046340972	0.5876101	0.1824398	0.052638203	0.013953617	0.012804961	0.009961278	0.0024625016	0.014196445	0.005785552	0.07131743
a37	0.000109214176	0.002770343	0.052822478	0.12867442	0.6517001	0.067903586	0.02314533	0.022088924	0.0131985815	0.005284452	0.014494907	0.0067171105	0.011090539
a31	0.00046862336	0.0089267995	0.064452566	0.044686813	0.34224248	0.31999594	0.07558342	0.0352125	0.03395783	0.024451537	0.020768896	0.020220758	0.009031906
a20	0.00013826683	0.0016561722	0.10815508	0.07390012	0.49339414	0.10589136	0.04061769	0.05048199	0.017673183	0.025020206	0.022689788	0.040895753	0.019486275
a31	0.0040127966	0.06487996	0.13380882	0.076114394	0.3341291	0.23120795	0.03432466	0.013629339	0.019517094	0.039433736	0.01646956	0.024950178	0.0075224293
a46	0.00015739092	0.0010197303	0.02284957	0.05901572	0.35302952	0.19641821	0.053792574	0.04890831	0.030713346	0.028284747	0.045047592	0.1441116	0.01665161
a20	0.002706313	0.016065944	0.228487	0.25844887	0.28544456	0.05678386	0.006068161	0.0044433824	0.01775105	0.07615612	0.016989099	0.021294516	0.009361161
a31	0.03619372	0.20810893	0.05230977	0.06453693	0.14415093	0.144956	0.07210678	0.0496785	0.050267834	0.015208878	0.044168375	0.08851624	0.029797083
a20	0.0012574946	0.0017182964	0.026367899	0.07236455	0.15330535	0.14395718	0.11044299	0.08951113	0.09936063	0.0345548	0.10901085	0.14268659	0.015462206
a37	0.03824063	0.13543911	0.18013097	0.11585893	0.13783462	0.12039176	0.082594804	0.042741872	0.041504666	0.020171855	0.025030456	0.038824096	0.021236228
a31	0.065341964	0.36136454	0.039828632	0.044478767	0.06913239	0.07224066	0.073409356	0.06870844	0.056518458	0.0114794215	0.042676043	0.057526104	0.03729512
a17	0.04665412	0.04556903	0.038951468	0.075208336	0.10587783	0.101175316	0.09544053	0.09249355	0.09845285	0.070450924	0.10249356	0.10707931	0.020153213
a31	0.13849573	0.21703865	0.10663631	0.11944341	0.09364747	0.06879838	0.050270453	0.031557366	0.034751527	0.011988522	0.026181092	0.051701166	0.049489953
a18	0.1048095	0.08339838	0.056948517	0.071233116	0.08026082	0.08044228	0.08029665	0.08017498	0.080347665	0.069605574	0.07995005	0.080772676	0.051759824
a37	0.25717014	0.3422641	0.0866223	0.047853712	0.0432159	0.03895818	0.040341087	0.03471416	0.02838366	0.005519515	0.017532352	0.029036816	0.028388046
a20	0.3113197	0.35489598	0.03281073	0.029765079	0.031052783	0.031164987	0.031631805	0.031595323	0.03229114	0.02290392	0.030373625	0.030715076	0.029479867
a31	0.21608202	0.36980766	0.042776592	0.037644085	0.03872305	0.038801644	0.03930023	0.039004363	0.039357767	0.025136463	0.037043717	0.03806792	0.038254473
a11	0.28663027	0.083030984	0.050598748	0.05585654	0.058453694	0.05860664	0.058615584	0.058604628	0.058755834	0.058333743	0.058698487	0.058620505	0.055194315
a31	0.279168	0.37940535	0.039163847	0.032520648	0.032491572	0.032214932	0.032676715	0.03229146	0.03222378	0.014841262	0.029385675	0.03148116	0.032135643
a8	0.34697786	0.075921014	0.05051703	0.0522839	0.053099252	0.053051572	0.05308163	0.053121842	0.05330027	0.052710257	0.053236257	0.053215753	0.049483374
</S>	0.39780346	0.30915383	0.038180556	0.029066682	0.027240753	0.025621723	0.022860002	0.025173116	0.02988743	0.0124323955	0.026595313	0.027898187	0.028086552
