 	l'	anno	che	viene	devo	mangiare	molti	dolci	</S>
a8	0.062779166	0.059066195	0.04859487	0.019579763	0.008486648	0.056599215	0.2384057	0.3126667	0.19382173
a31	2.0910259e-06	5.237572e-06	5.854285e-06	9.200474e-05	0.0008144358	0.20680994	0.0862228	0.4599253	0.24612229
a46	0.0079270825	0.013554483	0.011954799	0.0046797767	0.007213844	0.06385315	0.09571307	0.2923543	0.5027495
a8	1.8777115e-06	4.833029e-07	8.418012e-05	0.0009998587	0.003414757	0.8029767	0.022355912	0.021985672	0.14818063
a20	2.8295067e-06	6.178764e-07	0.00024337968	0.0052489582	0.011659234	0.62248504	0.2583868	0.058090225	0.043882895
a31	0.0020698053	0.00025101233	0.017418236	0.019387538	0.027300296	0.31763312	0.41303775	0.071886376	0.13101593
a20	0.0042117448	0.00083698536	0.01226233	0.041953187	0.038396988	0.3341186	0.21177417	0.13115792	0.225288
a13	0.00012723505	1.6871303e-05	0.0006971882	0.009455721	0.014004054	0.22679624	0.4847321	0.08057093	0.1835997
a14	0.00026068804	1.971305e-05	0.0016162542	0.01784965	0.025169568	0.34494102	0.25900707	0.11124574	0.23989032
a0	0.013606519	0.00038987288	0.026620539	0.047054257	0.028214155	0.18426755	0.33377427	0.17623761	0.18983528
a31	0.00065101404	4.0416428e-05	0.0030863183	0.028008021	0.043367304	0.25108564	0.21147723	0.26133984	0.20094419
a37	0.080905624	0.010719864	0.05799969	0.08718484	0.046028	0.036758997	0.20330052	0.27857247	0.1985301
a35	0.018952306	0.0008801163	0.01968778	0.10841154	0.04467049	0.15821454	0.12694287	0.4114793	0.11076104
a17	0.0009431786	5.8688667e-05	0.004262458	0.07483791	0.122585766	0.22698036	0.10949477	0.35140926	0.10942755
a31	0.0071728406	0.00010395753	0.023587078	0.18209317	0.15172695	0.108526014	0.07395709	0.37746164	0.075371325
a15	0.18222892	0.034474995	0.0687706	0.1250287	0.06975506	0.030525971	0.06767963	0.3399242	0.08161199
a31	0.0004099302	4.2723896e-05	0.005832768	0.043449685	0.051141005	0.3308059	0.16837202	0.27194542	0.12800056
a46	0.17572688	0.05635669	0.054367915	0.13887015	0.08461771	0.03647987	0.030525977	0.38480794	0.038246915
a35	0.00039373233	3.7809277e-05	0.0058809547	0.0154044945	0.011548507	0.50181013	0.2399784	0.18949199	0.035453983
a20	0.0070171934	0.0007518817	0.06328165	0.21345809	0.1558833	0.15177469	0.050713893	0.29710373	0.060015656
a31	0.120280474	0.0435323	0.059664566	0.16670203	0.18165152	0.09179842	0.012810622	0.18225121	0.14130881
a17	0.229411	0.10952642	0.04180914	0.09839293	0.110009216	0.04270765	0.020992983	0.29806572	0.049084906
a20	0.009339548	0.0008299809	0.018736588	0.10983461	0.14081272	0.32484162	0.088185094	0.25234884	0.055071056
a8	0.14101277	0.038354117	0.06021958	0.19601972	0.36972013	0.06668014	0.008787667	0.09099712	0.028208688
a23	0.0024876313	0.000101679754	0.01787061	0.31317827	0.34019047	0.1006697	0.025256602	0.14995478	0.050290294
a46	0.0048135547	0.0005502684	0.04312969	0.18220448	0.14656354	0.1630009	0.036438674	0.23651756	0.1867813
a8	0.028318573	0.0048622973	0.11510321	0.18082562	0.14419097	0.09959281	0.03174955	0.21081708	0.18453987
