 	tutto	il	cibo	vuole	girato	</S>
a31	0.03862144	0.10245679	0.018646102	0.26136327	0.14654663	0.43236578
a8	0.00011016377	0.0010294724	0.5054008	0.0343944	0.00027851385	0.45878664
a31	1.8503699e-05	0.0018540892	0.005149838	0.001095745	0.0043808576	0.9875009
a29	0.001131692	0.010220461	0.012759406	0.00791157	0.04273648	0.9252404
a20	0.004112652	0.0113828825	0.02759963	0.013363095	0.03785212	0.90568966
a39	0.0067388117	0.011461422	0.05750063	0.049679622	0.069372036	0.8052475
a31	0.006695853	0.010162182	0.07196935	0.13042758	0.082509495	0.69823545
a0	0.10355744	0.19173792	0.30549824	0.09677372	0.071073666	0.23135905
a31	0.00793934	0.024023456	0.040708013	0.16884239	0.0681588	0.690328
a24	0.08908547	0.14622861	0.11699482	0.29850155	0.10689054	0.24229895
a36	0.0067785364	0.038391344	0.027170833	0.06993147	0.10017469	0.7575531
a11	0.03609283	0.05106552	0.03693451	0.15983938	0.18787219	0.5281956
a17	0.06176138	0.055338368	0.018786464	0.1920101	0.2821787	0.389925
a31	0.010658082	0.07654172	0.029637562	0.14495037	0.21263841	0.5255739
a6	0.036068365	0.026953276	0.019243285	0.29346216	0.27371737	0.3505556
a31	0.02478336	0.096560635	0.032947354	0.07906766	0.29750258	0.46913838
a24	0.06792777	0.045017306	0.018503984	0.3140691	0.26099542	0.29348648
a6	0.07305638	0.2674494	0.035554823	0.09676719	0.23602508	0.29114705
a31	0.34825015	0.18093361	0.038737178	0.12224264	0.15056793	0.15926851
a46	0.084159054	0.072088934	0.023515489	0.26879066	0.2696981	0.2817477
a39	0.34841356	0.23945953	0.05978575	0.066005856	0.1357352	0.15060008
a31	0.409755	0.1374278	0.05065609	0.1334847	0.13190416	0.13677225
a41	0.08404195	0.11576187	0.04281584	0.25133064	0.24618195	0.25986773
a8	0.42558104	0.23074798	0.047618717	0.090463094	0.10039743	0.10519172
</S>	0.57694536	0.16923368	0.04231774	0.06847721	0.07076649	0.07225947
