 	non	ho	cosa	a	fare	</S>
a8	0.37693086	0.4810621	0.10426523	0.008370164	0.007145561	0.022226125
a31	0.00033172438	0.0028305096	0.44608867	0.41222596	0.074819684	0.06370342
a37	0.00027024696	0.016120965	0.76745623	0.12810664	0.03573108	0.05231476
a11	0.0006974369	0.020835416	0.118475944	0.037833292	0.31791794	0.50424
a13	0.0054558185	0.047700927	0.24476537	0.06115546	0.21000001	0.43092245
a20	0.010036497	0.038867503	0.46919012	0.06654664	0.15370286	0.2616564
a31	0.004310097	0.06869283	0.6088579	0.064171195	0.09805302	0.15591495
a8	0.07584491	0.54675037	0.16953404	0.048505846	0.06351879	0.09584605
a31	0.0027743552	0.053702094	0.51493746	0.21925388	0.09447636	0.11485578
a46	0.1702289	0.27115265	0.11932498	0.14760208	0.1445309	0.14716046
a8	0.01147253	0.15040521	0.56318676	0.15568417	0.05658686	0.06266451
</S>	0.04888314	0.3927236	0.29575485	0.17127593	0.049010668	0.04235182
