 	non	sapeva	dove	a	stare	</S>
a20	0.58270115	0.090002075	0.16935495	0.054230157	0.007006638	0.096705034
a31	0.000100021454	2.308502e-05	0.99800414	0.0011247909	0.00023072287	0.00051726785
a37	3.0561507e-05	2.512853e-06	0.99957937	7.952243e-05	0.00030148172	6.5852105e-06
a38	0.002289321	0.0008807234	0.28136447	0.20595022	0.47409472	0.03542054
a31	0.009202711	0.045574907	0.63779557	0.17557436	0.09920557	0.032646958
a41	0.0049116295	0.0008087971	0.82345915	0.022620445	0.14602107	0.002178902
a10	0.04238882	0.04381947	0.20942613	0.21950623	0.17055202	0.31430733
a20	0.030878965	0.045496743	0.07654171	0.072418906	0.08826514	0.6863985
a9	0.008963985	0.030708166	0.018579993	0.21424973	0.44840476	0.2790934
</S>	0.33617508	0.32688653	0.06257867	0.12136642	0.09774132	0.055251926
