 	dovevo	comprare	il	pane	ogni	giorno	</S>
a20	0.05018279	0.2639178	0.17605278	0.1990686	0.118055426	0.04108671	0.15163592
a31	6.840001e-05	0.004860697	0.20315745	0.21197726	0.21249986	0.15374455	0.21369177
a37	0.005784316	0.07052885	0.72547054	0.10144572	0.00012579579	0.014288639	0.08235615
a31	0.003159117	0.027703034	0.3691829	0.4568567	0.03552492	0.047630582	0.059942793
a7	0.0029540525	0.035265923	0.19157255	0.20429367	0.0092817815	0.386161	0.17047104
a31	3.362636e-05	0.00086980284	0.023253735	0.08976052	0.24180302	0.5700144	0.07426492
a44	0.0005803303	0.0039315247	0.03538862	0.07437029	0.1699232	0.5763469	0.13945918
a31	0.0026027346	0.028624745	0.09181398	0.050505754	0.34989205	0.34998748	0.12657322
a7	0.03925134	0.083431765	0.08923154	0.015730187	0.19915576	0.31887826	0.25432116
a3	0.026853196	0.083566174	0.16325364	0.040280834	0.26103535	0.24134734	0.18366343
a20	0.1417491	0.21908057	0.123511784	0.024751265	0.1673031	0.16647518	0.15712896
a31	0.16284399	0.1772672	0.061086416	0.020957123	0.19367622	0.19567311	0.188496
a0	0.26079124	0.097280085	0.012183487	0.019837748	0.19772859	0.20857869	0.20360012
a31	0.10944028	0.40156472	0.23161349	0.049966075	0.0721712	0.06917759	0.066066645
a8	0.54309404	0.19163008	0.014660924	0.027809503	0.07379112	0.075054444	0.073959924
</S>	0.15602979	0.4366134	0.2723142	0.03314926	0.035566613	0.033449553	0.032877177
