 	Valeria	legge	il	giornale	</S>
a31	0.47778293	0.09617809	0.11336636	0.1869851	0.12568752
a39	0.0006392895	0.00015990576	0.007279717	0.5506594	0.44126168
a8	0.0004134861	0.000104880695	0.00026093365	0.27412316	0.72509754
a31	0.0018859658	0.144493	0.15671109	0.32264903	0.3742609
a11	0.0021198008	0.063617684	0.012507488	0.48591864	0.43583646
a13	0.00021062083	0.12094113	0.26057	0.49153927	0.12673905
a31	0.00037132812	0.103669584	0.44284925	0.36483064	0.08827925
a18	0.0021924996	0.14746499	0.2397637	0.36579686	0.24478191
a37	0.0006122097	0.024863057	0.25124595	0.60963196	0.113646805
a11	0.008347203	0.03879599	0.27302545	0.31883097	0.3610004
a41	0.0052774246	0.03149379	0.25597447	0.30434328	0.40291104
a14	0.012644668	0.055127133	0.24718805	0.26434413	0.42069602
a31	0.018354855	0.065925	0.24301827	0.25494486	0.417757
a35	0.13033368	0.07892121	0.239175	0.24062324	0.31094682
a31	0.02695293	0.13643308	0.27072683	0.28374308	0.28214404
a41	0.2659854	0.10714301	0.19786498	0.20199008	0.22701651
a31	0.12483155	0.16428183	0.2331987	0.23586477	0.24182318
a35	0.25492355	0.15571634	0.19690926	0.20132408	0.19112676
a31	0.03987736	0.18183832	0.26226854	0.2686494	0.24736637
a8	0.38225415	0.14565545	0.15407774	0.15951265	0.15850002
a20	0.06375193	0.22478761	0.24549428	0.23909035	0.22687583
a31	0.5616308	0.10414162	0.11087911	0.11064187	0.11270665
a37	0.35544458	0.15312608	0.1624686	0.16378409	0.16517669
</S>	0.25106427	0.18665202	0.18892354	0.18646449	0.18689568
