 	lo	sentii	che	arrivò	</S>
a11	0.0060467008	0.0007487125	0.0001385802	0.0016354665	0.9914306
a31	0.058303967	0.06880305	0.17984885	0.005001503	0.68804264
a28	0.0042212093	0.0011283158	7.057504e-05	0.00064580183	0.9939341
a37	0.0032862986	0.00072042877	0.00059929874	0.0004761194	0.99491787
a20	0.13086407	0.039690603	0.01130535	0.001733505	0.81640655
a31	0.31495544	0.1568263	0.03174125	0.0026091207	0.49386784
a1	0.64970255	0.16172715	0.075731926	0.009437271	0.10340099
a0	0.036274455	0.013994656	0.008941285	0.0056319316	0.9351577
a17	0.040556394	0.019691141	0.017162573	0.010462105	0.91212785
a31	0.06914682	0.0939227	0.28749365	0.05942166	0.49001512
a0	0.30764985	0.07113749	0.28048941	0.049906485	0.2908168
a46	0.0334955	0.10037612	0.1405546	0.09982377	0.62575
a31	0.05530106	0.22231686	0.22607082	0.1179694	0.37834182
a18	0.1038009	0.05344334	0.3270456	0.1369315	0.3787787
a31	0.03871569	0.25553817	0.21287255	0.15084879	0.34202483
a39	0.06512404	0.10286806	0.2637622	0.22490746	0.34333822
a31	0.1459691	0.39040115	0.09775072	0.13472797	0.2311511
a46	0.107006535	0.19542997	0.21989845	0.21414508	0.26352003
</S>	0.30617264	0.43707475	0.05710473	0.080366395	0.119281456
