 	sto	e	cucino	</S>
a31	0.079493076	0.03442144	0.3718448	0.5142407
a20	2.493105e-05	0.00094374624	0.4895223	0.509509
a31	0.0016139745	0.24181636	0.46987954	0.28669012
a37	0.0013926813	0.013139172	0.2785363	0.7069319
a18	0.0022793359	0.002932363	0.21002851	0.78475976
a31	0.0023287009	0.018960038	0.29386318	0.68484807
a20	0.051311266	0.026078036	0.23955041	0.6830602
a31	0.03881482	0.550115	0.15413731	0.25693288
a28	0.3696875	0.2285246	0.13176511	0.27002278
a33	0.035046585	0.65855676	0.15839373	0.14800291
a31	0.1603789	0.6960233	0.0742922	0.069305554
</S>	0.36145762	0.24178502	0.18664359	0.21011375
