 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.2728355	0.12204983	0.03408169	0.030547133	0.018786978	0.17498544	0.31966886	0.027044633
a31	0.0030290417	0.07681238	0.4742839	0.34274164	0.08993098	0.010114197	0.0028210909	0.00026671714
a13	0.003180365	0.07517901	0.58386296	0.32781026	0.0062305946	0.00061359553	0.0028734836	0.0002497602
a20	0.0022765473	0.122296154	0.047014978	0.57644814	0.22020762	0.02647497	0.0025826718	0.0026989304
a15	0.0014797668	0.07917254	0.070863284	0.6284306	0.1571463	0.03353038	0.017718507	0.01165861
a20	0.0018557861	0.13503173	0.06738397	0.5174948	0.120971955	0.05703166	0.06488137	0.03534877
a31	0.004464084	0.33610597	0.22409864	0.18081567	0.050254147	0.07395509	0.074385725	0.055920728
a39	0.004849817	0.5687569	0.11254778	0.05573044	0.034170873	0.12117342	0.07800493	0.024765894
a31	0.0022996536	0.46133715	0.36179012	0.04811697	0.022432622	0.060227435	0.030471375	0.013324659
a20	0.0033754292	0.6508613	0.17427081	0.019606328	0.012617396	0.048586093	0.066235505	0.024447147
a31	0.0046117585	0.47849494	0.3185166	0.021350278	0.00949705	0.020831745	0.067525566	0.07917203
a7	0.044047084	0.4084814	0.27533525	0.00668644	0.004825404	0.026539419	0.13648255	0.09760249
a46	0.022001019	0.39442006	0.28314885	0.009061315	0.005859543	0.027763585	0.13345113	0.12429456
a39	0.064818285	0.36541724	0.21530747	0.007625695	0.0061423723	0.07264927	0.17790578	0.090133935
a31	0.20887533	0.08119257	0.20633438	0.013768468	0.017910212	0.08528048	0.2559272	0.13071135
a46	0.06756792	0.03594883	0.09322301	0.017857814	0.027928177	0.083123125	0.4080942	0.26625693
a0	0.053819343	0.09424858	0.14852688	0.006101349	0.010177545	0.102011636	0.33508286	0.2500319
a27	0.081735104	0.032685142	0.108751476	0.0073078144	0.02032422	0.09135217	0.37387973	0.28396434
a20	0.06743538	0.022252508	0.06878968	0.009429065	0.030412437	0.095854685	0.40003875	0.30578747
a0	0.08555152	0.023179846	0.040008806	0.015887016	0.056151778	0.15576562	0.34153154	0.2819239
a14	0.092867	0.023446755	0.03295919	0.034364365	0.11284396	0.1867853	0.2666874	0.250046
a0	0.098816805	0.020067008	0.024753327	0.03328276	0.11337768	0.20336428	0.26348183	0.24285634
a46	0.19581339	0.048755288	0.05838027	0.07996366	0.13089344	0.15074594	0.16892956	0.16651845
a20	0.35302338	0.07206166	0.08543802	0.08038308	0.095891215	0.10049256	0.106700905	0.10600918
</S>	0.19343974	0.050709933	0.058329377	0.08596157	0.1341831	0.15128681	0.16404809	0.16204135
