 	non	ho	dove	d'	andare	</S>
a20	0.045870937	0.030302305	0.017612785	0.009894813	0.36323965	0.53307956
a31	7.626804e-07	1.7684019e-05	0.0894864	0.039675053	0.6796093	0.19121076
a37	0.0012102897	0.10803379	0.7566909	0.071429476	0.013164618	0.049470935
a31	0.031558353	0.31266648	0.32169878	0.031688455	0.15209037	0.15029754
a29	0.0050706547	0.059672747	0.5090948	0.17942631	0.050391395	0.19634409
a41	0.0013376576	0.009395369	0.043885604	0.014241035	0.065855846	0.8652845
a31	0.0025447377	0.013261112	0.037885055	0.015132568	0.21294731	0.71822923
a18	0.04384176	0.18985927	0.17543612	0.022045147	0.13332357	0.43549415
a31	0.032202344	0.13663194	0.13639292	0.11291184	0.16787018	0.41399077
a39	0.059652574	0.09878664	0.027334964	0.09089272	0.22897676	0.4943564
a31	0.045305513	0.32732344	0.2332681	0.13147245	0.130031	0.13259943
a8	0.46400052	0.11092619	0.03254851	0.11203569	0.13445309	0.146036
a31	0.32047796	0.46560568	0.11418518	0.038598355	0.030607864	0.030524958
a8	0.62266845	0.13410018	0.044512223	0.06445362	0.06658806	0.067677446
</S>	0.4316227	0.43052095	0.06910964	0.026706873	0.021049125	0.02099063
