 	noo	abbiamo	deciso	che	oggi	avevamo	andare	alla	spiaggia	con	mio	fratello	però	lui	sapeva	che	faceva	freddo	e	non	è	venuto	ma	ma	lì	che	il	mare	non	mi	piace	quando	fa	freddo	</S>
a8	0.045470923	0.012213055	0.008458268	0.0031626078	0.0051082396	0.010950531	0.0025775947	0.0036322605	0.0007749594	0.00070864597	0.0006604752	0.00095052936	0.00079802045	0.0021621315	0.0037795836	0.0010764665	0.000644226	0.0055498932	0.0016316423	0.00095523114	0.0010907251	0.0033018093	0.017158214	0.22140954	0.023411782	0.016399141	0.019225234	0.08300609	0.025683306	0.008376102	0.0937811	0.08555218	0.15506485	0.063196264	0.0720783
a31	3.6002797e-07	4.1763536e-07	0.0012993043	0.004699763	0.00026457277	1.80982e-05	0.0016575959	0.00029831205	0.000110792935	0.0005099324	8.2803075e-05	3.726984e-05	6.0897684e-05	9.13403e-06	1.1532586e-05	9.443323e-05	0.00602949	0.00035162322	7.568684e-05	6.74184e-05	4.778451e-05	0.0017986282	0.14667892	0.7298043	0.027515244	0.0050042365	0.0051198024	0.065760605	0.001022841	0.00012940449	1.3738793e-05	0.00022984431	0.00039872734	7.50347e-05	0.0007214259
a24	4.0212066e-07	2.1847195e-06	0.007602994	0.0024690584	5.3283362e-05	0.00018500337	0.0031822957	0.0023111082	0.001589137	0.008556905	0.0045246496	0.0049186135	0.005617753	0.0033486672	0.0073664254	0.006510539	0.038445476	0.00075007265	0.007745131	0.008971367	0.006416311	0.030441605	0.06095702	0.12323031	0.20390578	0.1452037	0.056922976	0.15055041	0.07791504	0.015705572	0.00010055342	0.0049657123	0.0041544563	0.0021823656	0.0031970823
a37	7.6914575e-06	1.6301321e-05	0.0063484497	0.00644993	0.0013722837	0.0027667815	0.019775486	0.0014518953	0.0009260649	0.00692757	0.0057937736	0.0035150799	0.0035828948	0.0018608929	0.0031715666	0.001982926	0.013585776	0.0018501445	0.0030044846	0.004114898	0.0031489388	0.04288076	0.11941667	0.15459311	0.019024156	0.04324185	0.03917496	0.17058828	0.019201674	0.0025579045	0.0008551213	0.015535758	0.04341656	0.02481665	0.21304268
a24	1.4545318e-06	1.7867994e-06	0.00042850687	0.0022154811	0.00013574256	0.00035818783	0.006702487	0.00028592432	0.0003996455	0.0017313936	0.0015784767	0.0008907684	0.000792049	0.00042107687	0.0006620841	0.00070225407	0.013744623	0.0006434936	0.0006930381	0.0027147208	0.0041129286	0.012843033	0.27807316	0.2383054	0.020962726	0.0275681	0.033647448	0.16806228	0.015306002	0.0013805862	0.0007776329	0.008688059	0.009039925	0.00469293	0.14143656
a37	7.162494e-07	1.5607146e-06	0.00041957162	0.008395059	2.0009331e-05	0.0002704121	0.016475145	0.001677536	0.0026597271	0.012538471	0.010298345	0.004361143	0.0033974885	0.0023522966	0.0021660537	0.008049901	0.35686418	0.0009924542	0.0051180725	0.03981387	0.08985851	0.039651424	0.21564099	0.097304314	0.015260184	0.010998619	0.00889808	0.02491954	0.002937565	0.0008132755	0.00045181066	0.002295088	0.0014674071	0.00070220407	0.012928863
a31	1.40132315e-05	2.2134618e-05	0.0013045946	0.024518406	0.00019394673	0.00071287365	0.02081906	0.020154234	0.008171488	0.05635677	0.029338783	0.017837724	0.024931198	0.024920028	0.019302543	0.0298413	0.33491775	0.013268809	0.032274265	0.049512718	0.056989983	0.03280584	0.095029555	0.05061568	0.009507384	0.011271934	0.008583514	0.013726755	0.0019841534	0.00063569524	0.0006048424	0.0023624597	0.000935543	0.00047696586	0.006057115
a28	1.2913684e-05	1.4344851e-05	0.00096614676	0.010970793	0.00038633062	0.00048604637	0.010955737	0.008597141	0.003600141	0.06230713	0.022555582	0.017847529	0.03212396	0.037813533	0.028805098	0.035688303	0.2950393	0.013642855	0.04496228	0.054446504	0.048537478	0.028441474	0.11305283	0.06068689	0.013138988	0.013136796	0.008982727	0.020396402	0.0027641277	0.000749448	0.0005376145	0.002170524	0.00072888535	0.0004032622	0.005050886
a17	1.6621567e-05	4.395174e-05	0.0023897334	0.03694822	0.0006816133	0.0023460186	0.031657178	0.059709333	0.006883676	0.07010764	0.03343913	0.026089156	0.031998653	0.034017783	0.03090686	0.05151971	0.17490335	0.014294724	0.06661248	0.067107014	0.04884193	0.024151916	0.020450057	0.033684433	0.0084003415	0.030713871	0.037260953	0.0274809	0.0037045227	0.0012808936	0.0013856658	0.0068399822	0.0026941982	0.0018841963	0.00955332
a31	1.145553e-05	0.00015024909	0.0036565135	0.04999418	0.00075093034	0.002583886	0.033160876	0.045937654	0.0056229136	0.067273885	0.032335483	0.028971078	0.022094795	0.02711017	0.029298328	0.06022805	0.12949832	0.0040022833	0.07795278	0.105836265	0.06958436	0.023715876	0.006408611	0.0088379895	0.009477005	0.025528781	0.050899293	0.03803248	0.005884777	0.0035522133	0.0022970054	0.011398922	0.008064982	0.0058440953	0.004003509
