 	io	non	ho	niente	da	mangiare	</S>
a8	0.19621156	0.5940471	0.18336922	0.004657125	0.0002416337	0.0009237607	0.020549532
a31	8.4289335e-05	0.005518607	0.7575663	7.173806e-05	0.009211148	0.05713371	0.1704143
a8	0.44889805	0.22591005	0.21124956	5.9634705e-05	0.00035342958	0.023353722	0.09017562
a20	0.0005285844	0.08196407	0.3000475	0.1588524	0.012746516	0.010036535	0.43582442
a31	0.006036482	0.04443539	0.32059178	0.20223404	0.18897913	0.03369211	0.204031
a14	0.0013689566	0.0067558032	0.0073301173	0.0019017439	0.12242265	0.08637504	0.7738457
a31	0.0003159034	0.053270206	0.28562462	0.42189482	0.10994266	0.007047581	0.12190416
a13	0.0007628199	0.10833495	0.0856117	0.07120816	0.24073608	0.10239765	0.39094853
a37	2.7320018e-05	0.07030877	0.3727263	0.50167	0.024592875	0.0026238502	0.028050985
a10	0.00014941521	0.10773513	0.09245478	0.66450864	0.03204618	0.016993292	0.086112596
a20	0.00026010937	0.13914365	0.17628096	0.5312741	0.025454164	0.02639056	0.10119643
a7	0.0004061284	0.12326351	0.11671756	0.61269933	0.025494615	0.034900352	0.086518526
a18	0.004268048	0.17420228	0.14336076	0.5415903	0.026430856	0.037558157	0.07258965
a44	0.008759054	0.11213931	0.060251303	0.64938307	0.04818445	0.04950601	0.071776815
</S>	0.0089005465	0.36327428	0.2521064	0.33076623	0.011547353	0.0060929363	0.027312273
