 	lo	sentii	che	viene	</S>
a43	0.3590121	0.19354843	0.41912687	0.027343357	0.00096916856
a17	0.68442446	0.18142085	0.054138225	0.07929909	0.0007173305
a11	0.813194	0.09063589	0.060578667	0.034374807	0.00121665
a31	0.39650163	0.25284523	0.29439095	0.04706919	0.009193004
a46	0.26875785	0.050746027	0.66993195	0.010476525	8.75819e-05
a6	0.45585966	0.19534108	0.25176522	0.09615652	0.00087765936
a31	0.25674957	0.3074118	0.37274957	0.06005268	0.0030364236
a15	0.028660698	0.054966096	0.71479213	0.19890636	0.0026746318
a20	0.2501815	0.16639319	0.44230196	0.13630533	0.004817992
a31	0.036917083	0.04414206	0.83327454	0.083512455	0.002153879
a17	0.015193589	0.05424635	0.85608166	0.072426654	0.0020517937
a31	0.052328642	0.020321745	0.53292763	0.364393	0.030028954
a13	0.027282957	0.03945522	0.785308	0.14461218	0.003341651
a39	0.11423532	0.19212946	0.37615258	0.21629773	0.10118488
a46	0.14713387	0.195556	0.24463835	0.21055143	0.20212029
a31	0.16516283	0.19224931	0.23723327	0.20040357	0.20495106
a18	0.15870036	0.19226274	0.23205738	0.21243788	0.20454164
</S>	0.17536551	0.19158205	0.21813354	0.20473585	0.21018308
