 	il	vestito	della	sposa	vuole	bianco	</S>
a8	0.13952056	0.41438478	0.084094934	0.02602259	0.02552034	0.14168066	0.1687761
a31	1.434422e-06	9.1591995e-05	0.00069560535	0.0034683896	0.0046742307	0.9142096	0.0768592
a7	0.0010192875	0.16033357	0.2272443	0.03551209	0.021024771	0.18252942	0.37233657
a31	9.17298e-05	0.009388184	0.02787052	0.043397855	0.013429613	0.4745058	0.43131626
a7	4.565559e-06	0.001081257	0.009164523	0.008667757	0.0023062131	0.7845541	0.19422151
a3	4.575059e-06	0.00014754149	0.0009427902	0.0045084595	0.0036283953	0.8398632	0.15090507
a31	1.4776461e-05	0.00195131	0.013293605	0.010536596	0.005063712	0.86705995	0.10208004
a8	0.00024028851	0.037357718	0.09950512	0.06227002	0.014817293	0.6153777	0.1704318
a31	2.485276e-05	0.0018355115	0.016413072	0.03128091	0.033072513	0.7760303	0.14134286
a8	0.008170666	0.041076325	0.050497286	0.06350278	0.123226106	0.42641255	0.28711432
a20	6.159373e-05	0.0012220469	0.011552902	0.030708008	0.049237292	0.667202	0.24001618
a31	0.013851125	0.026275896	0.07877924	0.08916937	0.1955343	0.2951531	0.30123696
a20	0.020387612	0.015526326	0.013096143	0.122006916	0.22095548	0.32791665	0.28011096
a31	0.00079095224	0.0070749572	0.08998944	0.06881881	0.1409756	0.36865592	0.32369438
a28	0.034534108	0.019208262	0.018281238	0.13722768	0.23006047	0.2861391	0.27454922
a11	0.0012240162	0.009648387	0.14664079	0.0962202	0.19152395	0.2815491	0.2731935
a20	0.05672037	0.05875451	0.13023552	0.17003904	0.22254094	0.17588596	0.18582363
a24	0.042684745	0.029097032	0.121453114	0.25262985	0.22974104	0.1588495	0.16554476
a8	0.07570069	0.029569315	0.04688946	0.22109307	0.224907	0.19592132	0.20591913
a31	0.04026378	0.092665315	0.14332451	0.22202006	0.18917572	0.1516577	0.16089286
a20	0.04487579	0.00730154	0.01878349	0.23172016	0.23605125	0.21735443	0.24391343
a31	0.10745063	0.07344147	0.12171804	0.1945045	0.18577103	0.15784296	0.1592713
a18	0.22816591	0.039091803	0.034087636	0.17437255	0.17667145	0.17030528	0.17730543
a31	0.079906404	0.22056471	0.23096429	0.14510027	0.12474069	0.09874824	0.099975355
a8	0.4084367	0.095588915	0.052827083	0.11063896	0.11162055	0.110326655	0.11056112
</S>	0.043487154	0.2727375	0.3215123	0.1337645	0.10532431	0.060293995	0.06288026
