 	il	muro	vuole	uno	specchio	</S>
a23	0.03343937	0.12841086	0.16868861	0.04765928	0.118991226	0.5028107
a20	2.6866705e-05	0.0010653272	0.056659695	0.10658853	0.04946798	0.78619164
a31	0.010505644	0.162394	0.49845347	0.09809114	0.017146876	0.21340895
a24	0.0051589273	0.07306219	0.20369142	0.05497516	0.21358693	0.4495253
a31	0.0005881358	0.0069750366	0.06095824	0.017361851	0.293225	0.62089175
a13	0.00029508476	0.0011701627	0.010599599	0.0031516901	0.2735433	0.7112401
a39	0.00042519282	0.0013901998	0.028401932	0.084559135	0.30271566	0.58250785
a20	8.5552274e-05	0.00016290662	0.020275973	0.14059344	0.34886524	0.49001688
a31	0.012222284	0.0338577	0.1471312	0.23001969	0.16584644	0.41092274
a24	0.09065479	0.2573639	0.041244995	0.09170294	0.15747471	0.3615587
a8	0.006604456	0.08641963	0.27413547	0.23699751	0.1487668	0.24707617
a31	0.032661486	0.07742162	0.36990148	0.22107594	0.13858242	0.16035694
a20	0.11505329	0.36533394	0.054532778	0.12495301	0.1483882	0.19173875
a31	0.05792133	0.3371712	0.3899872	0.10116534	0.053047385	0.060707632
a29	0.2680221	0.41324452	0.06486679	0.065409094	0.08907853	0.09937902
a31	0.1405604	0.41503817	0.29402	0.07256686	0.037705112	0.040109485
a8	0.42634776	0.29528135	0.06453165	0.063586935	0.07324621	0.07700612
a20	0.29429314	0.2862808	0.2855005	0.06523636	0.03405599	0.03463329
</S>	0.373563	0.45272136	0.051585454	0.04226704	0.039374452	0.040488727
