 	non	ha	che	li	aspettiamo	</S>
a46	0.6534579	0.03228359	0.0053498163	0.02775857	0.062130045	0.21902004
a31	0.004888716	0.50164205	0.39963683	0.016955355	0.0042457883	0.07263123
a15	0.021765193	0.41352287	0.020019574	0.021998907	0.022089684	0.50060374
a31	0.013431171	0.61016643	0.10928325	0.08799754	0.014931688	0.1641899
a28	0.026930468	0.5300745	0.17211738	0.03265901	0.012515932	0.2257027
a20	0.0014219998	0.019154297	0.5888199	0.1384107	0.054072563	0.19812053
a11	0.016361993	0.14988436	0.5234233	0.08036684	0.046744265	0.18321916
a31	0.07625438	0.43556824	0.20378377	0.037201643	0.04525115	0.20194083
a11	0.27864116	0.44812924	0.04706215	0.02191576	0.05132966	0.15292203
a31	0.11797507	0.35703784	0.1962176	0.09288573	0.07124771	0.16463596
a46	0.26839268	0.30638257	0.101289906	0.052502025	0.07491105	0.19652176
a31	0.12840135	0.17546569	0.23299135	0.10754887	0.073035814	0.28255695
a11	0.29660964	0.1645631	0.15350677	0.1422359	0.08864012	0.1544445
a31	0.13512503	0.22777453	0.22699344	0.14850038	0.10062788	0.16097872
a11	0.24644485	0.10651952	0.17221925	0.19484797	0.11937815	0.1605903
a46	0.31061807	0.30688334	0.1159708	0.094374806	0.081421986	0.09073097
</S>	0.58920366	0.1234501	0.076241314	0.073123485	0.067904904	0.07007661
