 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
a39	0.0617174	0.11745259	0.045442417	0.012891372	0.020172952	0.3465126	0.022638833	0.011229181	0.043311615	0.31863108
a3	6.5696554e-06	0.00017826806	0.0047384007	0.041473124	0.04241705	0.15863	0.6182298	0.11250364	0.009678144	0.0121449595
a39	0.00014447901	0.0014246742	0.0025817787	0.01126547	0.26528728	0.5321061	0.13223296	0.014885063	0.010110434	0.029961796
a3	0.0010651856	0.0028313077	0.005850984	0.027878284	0.17397213	0.1387748	0.19504796	0.28585503	0.08841233	0.08031201
a10	0.0017167629	0.007864304	0.014012994	0.024068601	0.07892265	0.074183546	0.16375986	0.45178303	0.15496504	0.028723223
a38	0.0061815814	0.039351758	0.043784782	0.05259879	0.15842508	0.12472648	0.08174912	0.28053558	0.16281866	0.04982818
a37	0.001628159	0.011442923	0.023224851	0.03866634	0.109343626	0.08441946	0.11837261	0.37702206	0.19799158	0.037888497
a24	0.004742388	0.030505793	0.03403992	0.038597595	0.09585604	0.061021686	0.066827804	0.31558144	0.28217837	0.070648946
a31	0.0041261017	0.02815817	0.028874567	0.02379526	0.09705258	0.06799311	0.06849294	0.2274915	0.37562636	0.07838942
a3	0.00079772	0.0034941274	0.0049576955	0.008621105	0.039803606	0.027066693	0.07095712	0.27215487	0.4772214	0.09492568
a20	0.011604378	0.046797723	0.020757413	0.00814556	0.03963014	0.031054007	0.12964888	0.25497612	0.36796063	0.08942518
a31	0.025199223	0.11969299	0.1074039	0.020409327	0.06642784	0.026841989	0.05952271	0.08798111	0.44302106	0.043499846
a11	0.04158869	0.11885994	0.081106625	0.019257715	0.015997183	0.017054005	0.038798135	0.103408426	0.5264792	0.037450124
a7	0.017065993	0.052652758	0.09651427	0.035343185	0.07522821	0.03593367	0.08334885	0.059850655	0.4425107	0.101551645
a31	0.01672574	0.08125432	0.14441203	0.07085181	0.07221672	0.02890875	0.09389455	0.068557546	0.33880576	0.08437275
a24	0.035664003	0.088949345	0.05103364	0.03049067	0.016594352	0.02236872	0.09404245	0.11095693	0.48676047	0.06313941
a46	0.015415221	0.06429885	0.14183417	0.1217054	0.081967	0.040852368	0.15715401	0.09496866	0.16806865	0.11373569
a39	0.020041201	0.061657824	0.09962382	0.07120731	0.24578202	0.12118478	0.042655315	0.027059328	0.17662172	0.1341667
a31	0.03192266	0.17368378	0.23905516	0.15988357	0.06453858	0.039798852	0.062425174	0.04352654	0.09971024	0.08545538
a14	0.032895893	0.08440718	0.04123583	0.037279557	0.0139644565	0.023684083	0.17502604	0.18802786	0.22902364	0.17445546
a38	0.028489618	0.108114645	0.21445954	0.19374806	0.06999458	0.04032266	0.09393307	0.08305469	0.08709388	0.08078931
a31	0.03917386	0.24456058	0.23006351	0.15342966	0.040235315	0.027631102	0.069002144	0.06597543	0.06760495	0.062323496
a37	0.085378885	0.12443542	0.052109703	0.034936387	0.020383539	0.04095758	0.15878995	0.1635604	0.17871222	0.14073592
a20	0.03256052	0.15774857	0.26905787	0.24043874	0.066884056	0.034530174	0.05328019	0.048396084	0.049615543	0.047488272
a39	0.07811829	0.2898867	0.22555009	0.19358079	0.037177183	0.026672818	0.038322583	0.037297573	0.037357807	0.036036115
a20	0.07758496	0.2490231	0.21434729	0.24746154	0.044023316	0.030272976	0.03499744	0.033740524	0.03466262	0.033886217
a35	0.08786011	0.29696113	0.20509918	0.19813783	0.03486591	0.028460199	0.03769731	0.037265725	0.03712646	0.0365262
a20	0.087740704	0.2655634	0.20635563	0.26066297	0.04126404	0.026717024	0.028414965	0.027764358	0.027886743	0.027630173
a31	0.10816665	0.2952413	0.18784872	0.2012054	0.03540097	0.02946752	0.036063615	0.03577587	0.035570588	0.035259392
a24	0.13587154	0.12592384	0.0852749	0.06490763	0.05328606	0.07745405	0.11375121	0.11500759	0.11498741	0.113535754
a31	0.057867624	0.17847583	0.20848314	0.29038247	0.049521353	0.038911738	0.044814225	0.044358913	0.043991555	0.043193128
a8	0.16002695	0.12512262	0.0897218	0.074585274	0.060847677	0.07934126	0.10255701	0.10324078	0.10323075	0.10132585
a31	0.0730231	0.21346575	0.19034624	0.32670677	0.07844971	0.025973104	0.024302773	0.022439081	0.02251707	0.022776365
a41	0.29343614	0.16667779	0.09428734	0.10841442	0.05173995	0.053528152	0.058080662	0.058096837	0.058049317	0.05768938
a8	0.14336002	0.26865193	0.21361884	0.25350696	0.041680135	0.016724423	0.016218774	0.015570334	0.015366818	0.015301713
a31	0.19867757	0.23783807	0.16173458	0.25820082	0.0553773	0.019253321	0.018082028	0.017007533	0.016805511	0.017023273
</S>	0.30182302	0.14182174	0.08863068	0.098729186	0.057095513	0.059210144	0.06321151	0.06324817	0.06320656	0.06302346
