 	che	non	li	aspettiamo	</S>
a20	0.0036941387	0.00063162023	0.02820837	0.15938663	0.8080793
a8	0.9851033	0.01192655	0.0014493128	5.0631064e-05	0.0014701622
a7	0.087608285	0.032931875	0.035092577	0.12090024	0.723467
a35	0.31884855	0.3195423	0.1951433	0.042663984	0.1238019
a46	0.75203085	0.07794825	0.032514807	0.030209769	0.10729626
a31	0.2578088	0.27312323	0.17141467	0.09669914	0.2009541
a11	0.10479741	0.29461992	0.32253167	0.12483229	0.15321867
a31	0.060420305	0.2194118	0.43033704	0.13350506	0.15632576
a0	0.14288376	0.22718729	0.2687541	0.1777305	0.18344435
a31	0.011967095	0.19740239	0.49135768	0.17476644	0.124506295
a30	0.046188343	0.18952197	0.40203616	0.21540962	0.14684394
a0	0.11832325	0.24867566	0.22677314	0.20921786	0.19701003
a31	0.19295964	0.21545386	0.20271349	0.19676317	0.19210987
</S>	0.12465467	0.22441287	0.21798895	0.21841761	0.21452585
