 	il	ladro	è	entrato	da	qui	</S>
a31	0.16860303	0.046290595	0.001031942	2.9928538e-05	0.04946951	0.29800037	0.4365746
a17	2.8629233e-07	4.6945735e-07	1.9986453e-06	4.9687158e-05	0.0003262178	0.009239965	0.9903813
a37	1.4494767e-06	1.8922697e-07	4.5819383e-05	0.0014038505	0.0013111234	0.09246573	0.9047718
a35	0.013188205	0.012911851	0.0119959675	0.0023713526	0.08315995	0.06175975	0.81461287
a18	0.0045396807	0.009278753	0.018145552	0.0013321192	0.084570065	0.31164372	0.5704901
a31	0.045504432	0.07503429	0.15994999	0.029306693	0.1948979	0.11512154	0.3801851
a24	0.11842263	0.16418368	0.0537231	0.017779503	0.11992441	0.08072133	0.44524533
a31	0.13633959	0.12763657	0.051923178	0.004856558	0.10676646	0.16907002	0.40340766
a16	0.24016397	0.23377512	0.045141224	0.011247948	0.11012697	0.07794246	0.28160232
a31	0.05158666	0.031019177	0.044080332	0.0037933704	0.41266084	0.24535815	0.21150146
a46	0.36544257	0.22805695	0.0629493	0.011397836	0.15065165	0.06547665	0.1160251
a31	0.0663047	0.0399911	0.030549107	0.0013116929	0.5732901	0.16229562	0.12625764
a46	0.27350885	0.12638451	0.08018914	0.009249958	0.26478663	0.11903972	0.12684117
a31	0.13033716	0.09248338	0.033897847	0.0036112214	0.51888597	0.11832617	0.10245826
a35	0.28285235	0.10757838	0.10338906	0.016193837	0.19194059	0.14907262	0.14897314
a31	0.17675447	0.2230192	0.092274845	0.016608909	0.29730153	0.1037098	0.090331264
a8	0.34366807	0.11354434	0.10572077	0.02865637	0.1419311	0.13332583	0.13315353
a31	0.21682552	0.37598673	0.11602869	0.018614281	0.13486263	0.072107635	0.06557453
</S>	0.39962977	0.116507374	0.09892437	0.041709747	0.11285952	0.11501196	0.11535732
