 	ancora	non	mi	sono	vestito	</S>
a8	0.28255212	0.2196987	0.016267212	0.019783482	0.07010671	0.3915918
a31	2.9048402e-05	0.0015742059	0.024322603	0.021960516	0.0060281777	0.9460855
a10	0.008103847	0.13500346	0.63287014	0.021721793	0.03083767	0.17146316
a31	0.014362516	0.19637908	0.40741596	0.10463567	0.1408036	0.13640323
a18	0.0017344715	0.019457728	0.12348113	0.014329589	0.2543655	0.5866316
a31	0.0023477403	0.022710193	0.1162565	0.14441419	0.18336467	0.53090674
a20	0.0017876726	0.019881964	0.05293046	0.028827865	0.08244838	0.81412363
a31	0.0017030803	0.007125443	0.02742984	0.09563241	0.033208124	0.8349011
a13	0.11356285	0.33474442	0.09531939	0.02111437	0.019880813	0.4153782
a35	0.011778209	0.098337874	0.07947543	0.07275653	0.010749309	0.72690266
a39	0.021233907	0.10829556	0.08872201	0.06344802	0.010625375	0.7076751
a46	0.035199583	0.23964013	0.18937147	0.08663264	0.021919625	0.42723653
a31	0.020176236	0.15196548	0.44197008	0.12458494	0.019039584	0.24226372
a20	0.044545423	0.09672329	0.07893467	0.194487	0.04121334	0.5440963
a31	0.026429854	0.2112126	0.35774824	0.1284752	0.026723454	0.24941054
a39	0.06805367	0.10981477	0.07290865	0.22097848	0.112180986	0.41606346
a31	0.062340252	0.40420088	0.36884987	0.06607415	0.03210979	0.066425055
</S>	0.15163794	0.19664474	0.11594308	0.1764552	0.12537417	0.23394492
