 	lo	posso	finire	di	scrivere	</S>
a20	0.01515297	0.0006985645	0.02937539	0.42242366	0.09149521	0.44085425
a31	0.00031684365	0.030669883	0.041292533	0.16861016	0.7401671	0.018943505
a39	2.7949995e-05	0.015762746	0.032726366	0.584789	0.36646235	0.00023151338
a24	7.161054e-05	0.0033538453	0.3582657	0.12777768	0.3502737	0.1602575
a18	0.029142791	0.3586432	0.47843152	0.00875017	0.023101054	0.1019312
a24	0.1745394	0.1728366	0.20547691	0.025668807	0.06794546	0.3535328
a31	0.0135031	0.14935434	0.20666029	0.011100929	0.030882148	0.5884992
a20	0.097572446	0.037306	0.045775183	0.03874426	0.1859822	0.5946199
a31	0.13963881	0.03391185	0.040421844	0.056214765	0.35894668	0.3708661
a1	0.18935616	0.087890826	0.087548174	0.11068372	0.26447272	0.26004836
a31	0.4570244	0.10834224	0.108377375	0.10773291	0.108560264	0.10996278
</S>	0.19394192	0.15010214	0.15007694	0.15635505	0.17495479	0.17456913
