 	vuole	vuole	mangiato	caldo	</S>
a37	0.60959935	0.09859502	0.03527934	0.03451294	0.22201322
a31	0.0059284717	0.0015067247	0.002336772	0.97003406	0.020193957
a41	0.00031902007	0.0014590872	0.0019024868	0.99617755	0.00014178372
a31	0.009414327	0.013608678	0.018198088	0.87164176	0.0871372
a11	0.00047272613	0.00050076994	0.00057115924	0.9790132	0.019442225
a20	0.025521707	0.0649473	0.07988943	0.31786355	0.511778
a31	0.036685783	0.10049274	0.14555521	0.1885321	0.5287342
a18	0.060799383	0.074529625	0.13333103	0.5346548	0.19668515
a31	0.20652746	0.19195515	0.39428282	0.15884165	0.048392992
a20	0.34833765	0.2791614	0.19967058	0.11419846	0.05863182
a21	0.16287622	0.23030646	0.37586263	0.19764227	0.033312462
</S>	0.24075437	0.33656508	0.3082092	0.07731236	0.037159033
