 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a31	0.0034089922	0.096626714	0.019761756	0.017470818	0.30943793	0.12947951	0.0047149328	0.0071416334	0.002515806	0.1281271	0.0976174	0.0610909	0.1226065
a24	3.2862695e-06	6.461121e-05	0.31591502	0.015096736	0.034811534	0.0946364	0.18425542	0.28315574	0.054868694	0.013658692	0.002821519	0.00048167905	0.00023068768
a28	2.9047175e-08	1.0732184e-06	0.042876985	0.028166492	0.004751278	0.011668096	0.013016348	0.01587605	0.06902808	0.6113628	0.03678118	0.1058737	0.060597867
a39	9.522261e-07	2.5759351e-05	0.012989337	0.020276377	0.0014149059	0.0030719263	0.0049856864	0.027463594	0.21365154	0.58898216	0.07622537	0.028860953	0.022051418
a17	5.759502e-06	3.0139754e-05	0.011135689	0.014915659	0.00526594	0.0065201907	0.021721702	0.050010376	0.34896275	0.3106238	0.20219734	0.017711297	0.010899383
a31	4.314048e-05	0.00013630596	0.023835542	0.014588172	0.031327255	0.032542154	0.13704287	0.0786532	0.31573817	0.14521179	0.19404225	0.01963583	0.007203242
a20	0.0030873378	0.0027534822	0.09570833	0.018692972	0.014998196	0.022755953	0.10078233	0.3066115	0.104422525	0.16290228	0.06987589	0.054591816	0.04281738
a31	0.0010266639	0.0029906088	0.020086626	0.020509344	0.060711507	0.06632529	0.20598894	0.08550728	0.22756669	0.09932498	0.13721089	0.04791792	0.024833258
a17	0.0012877269	0.0006205261	0.053753246	0.01589822	0.009310053	0.01534437	0.083844915	0.34158796	0.06978679	0.18393244	0.06429312	0.060470756	0.09986996
a8	5.3876734e-05	0.0017337977	0.003130927	0.011688474	0.050478484	0.048761368	0.037920527	0.024924304	0.22463195	0.24557005	0.29051962	0.042726044	0.017860532
a31	0.0002865856	0.0021380193	0.012831028	0.022860607	0.17573506	0.09655474	0.16991876	0.12722807	0.1289347	0.091932885	0.09127558	0.047734648	0.032569345
a8	0.026621811	0.024479268	0.048276078	0.023640383	0.050482046	0.042142656	0.14700116	0.17606762	0.040195014	0.13645603	0.048947264	0.15650074	0.07918994
a24	0.0003947976	0.0073208595	0.007998266	0.04071978	0.105747476	0.055680487	0.057879664	0.024022425	0.19737323	0.1611657	0.22256504	0.082351975	0.03678024
a31	0.013886599	0.055318285	0.030458488	0.006138246	0.126816	0.11846033	0.07888315	0.053463448	0.009367852	0.07744023	0.03742737	0.34069642	0.051643614
a20	0.022590373	0.027490422	0.018617775	0.01636008	0.111618266	0.04700055	0.08501906	0.11997411	0.032258153	0.1416242	0.06221682	0.2564938	0.058736403
a31	0.004028636	0.03781561	0.05094473	0.051833726	0.21349435	0.04112384	0.036047105	0.018388491	0.06212163	0.06565645	0.13807704	0.23229821	0.04817025
a41	0.015934275	0.039827008	0.029691627	0.008536358	0.16329773	0.07677691	0.057387765	0.06780684	0.01956681	0.12928784	0.07283428	0.28589922	0.0331533
a31	0.0033265955	0.03803995	0.07277815	0.050678615	0.19570321	0.052364677	0.0312104	0.013614154	0.05759082	0.088929154	0.17732456	0.18356618	0.03487348
a13	0.01666143	0.05534538	0.021426778	0.004852435	0.16183232	0.11761084	0.053251635	0.047952466	0.020992758	0.1477361	0.08794711	0.23809758	0.026293227
a37	0.00439025	0.04606301	0.10590426	0.05107977	0.15259495	0.051395435	0.03216661	0.016299753	0.055102557	0.106298484	0.16630346	0.17735627	0.0350451
a8	0.025917636	0.16028672	0.08997171	0.0054212864	0.13162062	0.109241016	0.08934173	0.06899397	0.016307807	0.08470443	0.023134738	0.149744	0.045314368
