 	lo	sentii	ee	che	arrivava	</S>
a15	0.87628996	0.07891816	0.019012637	0.017101854	0.0059440453	0.0027333105
a31	0.020724073	0.015952583	0.37915045	0.18104807	0.0001353826	0.40298945
a46	0.125512	0.0670563	0.0951336	0.17814845	0.00037839668	0.5337712
a8	0.0014925355	0.0030206311	0.11084561	0.8412717	0.0023072131	0.04106227
a31	0.0496721	0.06411162	0.30222574	0.4679598	0.08217976	0.033851016
a23	0.0005601907	0.00076709467	0.09228271	0.8342978	0.019388774	0.052703448
a8	0.002447981	0.0049760723	0.17379972	0.81476974	0.0020605852	0.0019459076
a38	0.042875182	0.075351834	0.24432255	0.60594875	0.026769133	0.0047326
a20	0.009683318	0.016051685	0.09947124	0.132266	0.6976835	0.04484418
a28	0.014252948	0.016363572	0.09677328	0.1725269	0.633285	0.06679831
a20	0.026689991	0.025127407	0.09336891	0.14161415	0.67366165	0.0395379
a23	0.06585401	0.05099764	0.10473262	0.12992734	0.6046543	0.04383402
a31	0.20867427	0.1187347	0.16079152	0.18873987	0.28886908	0.034190573
a29	0.101464406	0.11042064	0.19747747	0.22130099	0.18951853	0.17981797
a33	0.21332136	0.16947491	0.12141639	0.11782208	0.31561026	0.06235501
a29	0.4322492	0.25276238	0.07886871	0.0664591	0.13965948	0.030001149
a27	0.31800506	0.20553343	0.08657503	0.081036285	0.25585538	0.052994777
a46	0.4318098	0.19377258	0.06630612	0.06105832	0.20089297	0.046160147
a20	0.49131113	0.18654613	0.05846749	0.053197797	0.16953596	0.04094148
a31	0.5019378	0.1769913	0.061874352	0.05713488	0.15420653	0.047855124
a7	0.1869921	0.16303083	0.1606405	0.16173683	0.16781151	0.15978822
a1	0.38479322	0.17504811	0.09295334	0.09031989	0.18349957	0.073385864
a20	0.44773504	0.16222292	0.085765235	0.08257816	0.14626801	0.075430594
a31	0.4288322	0.16067013	0.0922658	0.08937865	0.14575401	0.08309914
a20	0.1859891	0.16360939	0.16190387	0.16231109	0.1655187	0.16066784
a31	0.40570182	0.17164804	0.09041543	0.08745597	0.17084032	0.07393849
a23	0.12347643	0.11423036	0.20192577	0.21245842	0.13903631	0.20887274
</S>	0.4391872	0.23355016	0.055875484	0.0468662	0.19478297	0.02973797
