 	perché	aveva	lavorato	tutta	la	settimana	</S>
a31	0.053410817	0.41532034	0.027147062	0.016070273	0.086960785	0.14922032	0.25187042
a20	0.00039076118	0.010216934	0.8371233	0.14963788	0.0011493502	0.00010391018	0.0013779444
a31	0.000167574	0.030141009	0.83244264	0.13547044	0.00018920403	0.00012678087	0.0014622179
a18	0.0036270625	0.02979085	0.6721999	0.29177976	0.00016744726	0.00010767015	0.0023273225
a31	0.0007742311	0.007104832	0.3235951	0.5404134	0.009161627	0.008421835	0.110528916
a37	0.0026856253	0.009846542	0.45324233	0.4435155	0.00096536515	0.0037085142	0.08603624
a13	0.0055249017	0.012212654	0.30444527	0.2570345	0.018336846	0.052935038	0.34951088
a31	0.017867414	0.061155554	0.37092984	0.29433715	0.062754	0.041091703	0.15186433
a20	0.17022055	0.23400617	0.31880152	0.113392405	0.05877797	0.02675835	0.07804302
a46	0.06472524	0.20838086	0.2790998	0.11025013	0.14664024	0.07055994	0.12034377
a31	0.072148524	0.14728294	0.19056013	0.07917862	0.24568576	0.114389904	0.1507541
a13	0.2508101	0.16499463	0.08225813	0.046410248	0.29191366	0.099471614	0.06414168
a20	0.05188167	0.16404645	0.15715706	0.06792974	0.28471693	0.11558125	0.1586869
a31	0.11290329	0.21577716	0.106708504	0.027341625	0.32528508	0.1129914	0.09899294
a46	0.06098125	0.05181555	0.05288884	0.057409637	0.5522171	0.13941531	0.085272305
a39	0.04115968	0.29354587	0.15544052	0.07597169	0.2332077	0.08641853	0.11425603
a41	0.06923919	0.40848535	0.07932516	0.03585634	0.18096443	0.11201437	0.1141152
a46	0.14176919	0.37042657	0.08673816	0.034334984	0.13508604	0.13117911	0.10046595
a39	0.17337891	0.4993858	0.11552896	0.048017196	0.05758998	0.05457629	0.051522892
a8	0.26092967	0.46662992	0.084103875	0.042549726	0.0499357	0.048802298	0.047048777
</S>	0.34195444	0.42445534	0.10420014	0.037713677	0.03151168	0.030277215	0.029887397
