 	e	che	cucino	</S>
a31	0.37204152	0.04962309	0.27610365	0.30223176
a24	0.00010421144	0.0003144387	0.55226594	0.4473154
a31	0.00021686735	0.004715475	0.7106201	0.2844476
a11	0.0074158027	0.004691095	0.34733695	0.64055616
a46	0.0060643777	0.0119419405	0.39675623	0.5852375
a41	0.013272385	0.17774571	0.4114747	0.39750722
a20	0.12989064	0.7188764	0.07212947	0.07910337
a36	0.13545913	0.71113586	0.071403325	0.08200168
a31	0.17825598	0.66922057	0.07623182	0.076291606
a46	0.40853885	0.28751644	0.12317671	0.18076801
</S>	0.2213912	0.59869987	0.099886134	0.08002277
