 	non	aveva	dove	a	stare	</S>
a31	0.17286599	0.3795713	0.3215787	0.080043145	0.009897738	0.03604306
a8	3.8104034e-05	0.00041032676	0.9641485	0.006151308	0.029228631	2.302314e-05
a31	2.9104138e-05	0.0077804206	0.9778561	0.013010338	0.00045037904	0.0008735282
a28	0.0054267296	0.022579558	0.94257337	0.0051576695	0.012928127	0.0113345
a37	0.001547965	0.005813364	0.1530545	0.15311408	0.448369	0.23810107
a31	0.0012433294	0.0072139404	0.33641973	0.23241061	0.06381212	0.35890025
a18	0.0007796645	0.006001567	0.3572793	0.051919848	0.0483106	0.53570896
a0	0.00014712289	0.00042517052	0.016339982	0.0363643	0.052730568	0.8939929
a23	0.0010108039	0.0039061515	0.0398738	0.103822425	0.2163804	0.6350064
a8	0.010991691	0.10539024	0.15005139	0.4469491	0.07437297	0.21224463
a31	0.018295495	0.17834128	0.13299033	0.4600059	0.05513439	0.15523253
a20	0.057340853	0.07970272	0.029658869	0.24592626	0.3665465	0.2208248
a31	0.06288544	0.38378772	0.042557154	0.18741745	0.22240502	0.10094728
a20	0.26150668	0.106882714	0.019447904	0.18622677	0.21074021	0.2151957
a24	0.33084556	0.48936394	0.045940172	0.04638251	0.04692925	0.040538657
a8	0.5458941	0.19131534	0.054014973	0.07003816	0.07018567	0.068551704
a31	0.53588396	0.3427597	0.039584193	0.0358182	0.013101421	0.03285252
</S>	0.34778246	0.1661054	0.10145921	0.12820022	0.12897573	0.127477
