 	non	mi	aspetti	non	vengo	</S>
a33	0.34833893	0.14642522	0.07096669	0.1435167	0.092734024	0.19801848
a31	8.601406e-06	5.1311577e-05	6.869732e-05	0.0025073523	0.8054451	0.19191903
a37	0.022747485	0.11241583	0.00974614	0.06579868	0.64144856	0.1478433
a35	0.019457433	0.034139954	0.0031264008	0.014527881	0.15516546	0.7735829
a31	0.003280802	0.0044906735	0.0029797836	0.006442182	0.13442177	0.84838474
a7	0.019600209	0.011828422	0.00062212924	0.0019684006	0.18723896	0.77874184
a18	0.002496432	0.0047613243	0.0049629775	0.0072377813	0.13820124	0.84234023
a24	0.042829633	0.07574424	0.029770013	0.043642517	0.4030736	0.40493995
a31	0.10636941	0.30989662	0.1630361	0.15534893	0.19572505	0.06962385
a20	0.24415603	0.5843207	0.11260193	0.023237474	0.020296287	0.015387592
a8	0.07772066	0.2876755	0.31462252	0.1701569	0.10501033	0.04481419
a31	0.18979858	0.27960247	0.32685286	0.12780201	0.04469319	0.031250846
</S>	0.3474186	0.30578583	0.15270108	0.082950115	0.058898687	0.05224568
