 	mia	sorella	ancora	non	è	venuta	qui	</S>
a8	0.032289024	0.030371696	0.44793683	0.20388229	0.115740456	0.028500455	0.014431488	0.12684765
a23	2.1537828e-06	5.645546e-06	0.059565086	0.05633854	0.5688407	0.1559157	0.015695883	0.14363629
a31	0.0001255471	0.0003545857	0.3091146	0.16436975	0.3828277	0.007905587	0.0005605475	0.13474166
a8	0.03876308	0.03468727	0.23397712	0.2500074	0.2975263	0.028654808	0.0036115262	0.11277251
a20	0.00018389917	6.9844005e-05	0.1272977	0.0651028	0.09273105	0.59085137	0.018185552	0.10557779
a24	0.00061207963	0.0004371596	0.07000703	0.19952698	0.12204891	0.5367362	0.037490685	0.033140995
a31	0.00076133036	0.00010425984	0.109594464	0.48567525	0.14713705	0.1829977	0.036405116	0.037324853
a20	0.0021349287	0.00018692928	0.24211025	0.22050214	0.080646984	0.19033942	0.1140224	0.15005696
a31	7.931534e-05	6.890769e-06	0.026521858	0.2761923	0.07477578	0.3691381	0.12218755	0.1310981
a37	0.013770939	0.0002891054	0.3914688	0.18844025	0.055497203	0.10945241	0.10702468	0.13405658
a41	0.0016014345	3.1470678e-05	0.16317047	0.2538156	0.06676951	0.36585784	0.052038345	0.09671532
a37	0.0030742276	4.8492548e-05	0.11620822	0.29829672	0.09797143	0.30872223	0.079185165	0.09649355
a13	0.018965319	0.0010026732	0.18549192	0.18048826	0.072879486	0.35287502	0.08440876	0.10388853
a38	0.01221969	0.0006762447	0.075975195	0.17795126	0.10581783	0.37991437	0.1202332	0.12721218
a35	0.03279177	0.0039491234	0.078020245	0.13726765	0.10063579	0.31769556	0.16110626	0.16853355
a39	0.01953259	0.0018964731	0.04350862	0.2504818	0.19489133	0.17075612	0.16517043	0.15376267
a35	0.103633605	0.026283067	0.100536555	0.1727389	0.13829699	0.16342804	0.1466153	0.14846754
a20	0.13098685	0.056934007	0.117536195	0.16724868	0.12429957	0.14480408	0.12773262	0.13045804
a31	0.17365883	0.21422581	0.06611693	0.06606323	0.0664933	0.14255336	0.13168071	0.13920783
a46	0.1524072	0.28373608	0.010860079	0.024232354	0.05117822	0.13856679	0.16433385	0.1746854
a37	0.03378159	0.0067645316	0.1600299	0.24413146	0.15986852	0.13402532	0.12755656	0.13384217
a17	0.1521484	0.24153964	0.047608808	0.064435355	0.08294584	0.13327132	0.1348266	0.14322409
a31	0.1730485	0.17326482	0.11725898	0.12048286	0.09966077	0.11197769	0.10097622	0.10333021
a20	0.16871741	0.36669183	0.01053328	0.03172786	0.060760688	0.11184621	0.12283902	0.12688373
a39	0.14941716	0.2360875	0.10632472	0.10998958	0.09561457	0.10481176	0.09678539	0.10096928
a31	0.24383625	0.29408062	0.10398512	0.08208722	0.067603	0.073046796	0.067287445	0.06807359
a33	0.18955989	0.42369542	0.012333502	0.037203662	0.060260363	0.08849147	0.09335907	0.0950966
a21	0.03392445	0.018347211	0.3927321	0.19252016	0.10193805	0.09766799	0.080709025	0.082160965
a31	0.17223077	0.42602894	0.09253342	0.06930393	0.059033833	0.06224735	0.05860527	0.060016457
a29	0.15339023	0.45217726	0.018202404	0.047858074	0.06724695	0.08430283	0.08774688	0.089075334
a31	0.15530466	0.3687418	0.10297702	0.08178535	0.072824135	0.07412843	0.071003504	0.07323505
a8	0.19375768	0.47363713	0.02045723	0.04553766	0.058307245	0.068820104	0.06944499	0.07003799
a31	0.11849881	0.061296653	0.3978371	0.1590624	0.07475851	0.07372875	0.057159174	0.057658594
a17	0.25899565	0.5323782	0.030229842	0.034069266	0.035229802	0.036430784	0.036237087	0.036429323
</S>	0.30605823	0.21928008	0.2505189	0.08797982	0.038732044	0.038742904	0.029283304	0.0294047
